fecha,apertura,maximo,minimo,cierre,volumen,openint
"2006-04-27","36.45000","36.575","36.35","36.50000","671092","0"
"2006-04-28","37.00000","37.4","36.9","37.40000","389936","0"
"2006-05-02","37.15000","38.45","37.15","38.37500","307356","0"
"2006-05-03","38.25000","38.25","37.4","38.25000","208966","0"
"2006-05-04","38.30000","38.5","37.5","38.00000","235688","0"
"2006-05-05","38.60000","39.65","38.6","39.62500","297446","0"
"2006-05-08","40.00000","40","38.75","39.25000","139538","0"
"2006-05-09","39.50000","40","39.3","39.60000","146000","0"
"2006-05-10","39.75000","39.9","39.4","39.90000","92060","0"
"2006-05-11","40.00000","40.15","39","39.50000","143234","0"
"2006-05-12","39.00000","39.25","37.7","39.25000","146784","0"
"2006-05-15","37.50000","37.5","35.9","36.97500","235872","0"
"2006-05-16","37.50000","37.55","36.75","37.30000","70842","0"
"2006-05-17","36.75000","36.75","35","35.75000","83496","0"
"2006-05-18","36.15000","36.15","34.5","34.85000","101940","0"
"2006-05-19","34.85000","34.85","33.5","34.60000","131714","0"
"2006-05-22","34.25000","34.25","31.5","32.50000","52658","0"
"2006-05-23","34.10000","34.5","32.5","32.55000","71130","0"
"2006-05-24","32.50000","32.5","31","31.90000","119020","0"
"2006-05-26","34.00000","35.05","33.4","35.00000","92974","0"
"2006-05-29","36.00000","36.125","35.95","36.00000","29970","0"
"2006-05-30","33.90000","33.9","33","33.25000","91612","0"
"2006-05-31","34.00000","34","33.1","33.42500","46584","0"
"2006-06-01","33.25000","34.1","33.25","34.00000","29770","0"
"2006-06-02","34.32500","34.45","33.625","34.30000","25572","0"
"2006-06-05","34.15000","34.15","32.8","33.00000","18524","0"
"2006-06-06","32.97500","32.975","31.75","32.85000","78252","0"
"2006-06-07","32.50000","32.5","31.8","31.80000","28546","0"
"2006-06-08","30.50000","31.5","29.4","31.50000","129710","0"
"2006-06-09","31.00000","31","30","30.25000","30396","0"
"2006-06-12","29.75000","30","28.5","28.50000","139856","0"
"2006-06-13","28.50000","28.5","26.75","27.15000","88088","0"
"2006-06-14","27.75000","28.2","26.75","27.97500","52136","0"
"2006-06-15","29.45000","30.3","29.45","30.30000","74286","0"
"2006-06-16","30.15000","30.6","29.5","30.42500","58778","0"
"2006-06-20","30.00000","30.3","29.5","29.55000","16000","0"
"2006-06-21","29.75000","30.9","29.75","30.50000","38852","0"
"2006-06-22","30.60000","30.875","30.5","30.50000","23008","0"
"2006-06-23","30.50000","32","30.5","31.55000","43050","0"
"2006-06-26","31.55000","31.55","31.1","31.35000","285976","0"
"2006-06-27","32.00000","32","31.1","31.10000","346944","0"
"2006-06-28","31.95000","31.95","31.5","31.80000","20234","0"
"2006-06-29","32.50000","33.85","32.35","33.85000","62634","0"
"2006-06-30","34.50000","34.5","33.8","34.40000","42518","0"
"2006-07-03","34.40000","34.5","33.9","34.00000","9950","0"
"2006-07-04","34.40000","34.5","34","34.50000","2270","0"
"2006-07-05","33.00000","33.95","33","33.60000","48394","0"
"2006-07-06","34.00000","34.2","34","34.00000","30196","0"
"2006-07-07","34.25000","34.5","33.45","33.45000","77404","0"
"2006-07-10","33.90000","34.2","33.375","33.40000","37058","0"
"2006-07-11","33.40000","34.475","33.35","34.47500","30502","0"
"2006-07-12","34.60000","34.85","34.25","34.50000","66390","0"
"2006-07-13","34.75000","34.75","33.35","33.97500","23094","0"
"2006-07-14","33.97500","34.5","33.6","34.50000","34406","0"
"2006-07-17","34.00000","34","32.9","33.10000","234988","0"
"2006-07-18","33.20000","33.2","32.7","33.07500","30520","0"
"2006-07-19","33.75000","34.1","33.5","33.90000","55786","0"
"2006-07-20","33.95000","33.95","33","33.25000","7736","0"
"2006-07-21","32.75000","32.95","32.5","32.50000","9748","0"
"2006-07-24","33.32500","34.25","33.325","34.00000","36940","0"
"2006-07-25","34.50000","34.5","33.5","34.15000","15468","0"
