fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","3.13911","3.14762","3.07956","3.09658","940886","0"
"2005-01-04","3.09658","3.09658","3.02001","3.05404","2346608","0"
"2005-01-05","3.02001","3.02852","2.95195","2.95195","1093617","0"
"2005-01-06","2.97748","2.99449","2.96046","2.98598","934227","0"
"2005-01-07","3.01150","3.02001","2.96897","2.98598","479030","0"
"2005-01-10","2.99449","3.07105","2.98598","3.07105","437074","0"
"2005-01-11","3.07956","3.1306","3.07956","3.11359","436918","0"
"2005-01-12","3.11359","3.14762","3.10508","3.10508","895110","0"
"2005-01-13","3.10508","3.15612","3.07956","3.15612","474275","0"
"2005-01-14","3.13911","3.15612","3.08807","3.14762","663279","0"
"2005-01-17","3.14762","3.16463","3.11359","3.14762","381649","0"
"2005-01-18","3.14762","3.16463","3.09658","3.16463","372052","0"
"2005-01-19","3.15612","3.18165","3.13911","3.13911","598664","0"
"2005-01-20","3.12210","3.13911","3.07956","3.13911","354866","0"
"2005-01-21","3.12210","3.14762","3.1221","3.12210","1109956","0"
"2005-01-24","3.09658","3.10508","3.07956","3.10508","121358","0"
"2005-01-25","3.10508","3.14762","3.10508","3.12210","616280","0"
"2005-01-26","3.12210","3.25821","3.1221","3.25821","1358132","0"
"2005-01-27","3.26672","3.33477","3.2497","3.30925","4031974","0"
"2005-01-28","3.30925","3.34328","3.28373","3.30074","1551254","0"
"2005-01-31","3.30074","3.31776","3.24119","3.27522","517151","0"
"2005-02-01","3.26672","3.28373","3.23269","3.25821","298313","0"
"2005-02-02","3.23269","3.26672","3.21567","3.24970","1392107","0"
"2005-02-03","3.25821","3.30925","3.23269","3.30074","2478382","0"
"2005-02-04","3.31776","3.37731","3.31776","3.36880","5693999","0"
"2005-02-07","3.36880","3.38582","3.31776","3.37731","1028570","0"
"2005-02-08","3.39432","3.44536","3.39432","3.44536","5547170","0"
"2005-02-09","3.46238","3.46238","3.39432","3.42835","3051672","0"
"2005-02-10","3.43686","3.4879","3.40283","3.45387","1766612","0"
"2005-02-11","3.48790","3.55596","3.47089","3.48790","2921863","0"
"2005-02-14","3.49641","3.54745","3.4879","3.53894","2416109","0"
"2005-02-15","3.54745","3.54745","3.45387","3.50491","1576749","0"
"2005-02-16","3.50491","3.53044","3.47939","3.52193","3153268","0"
"2005-02-17","3.53894","3.67506","3.4879","3.64103","3195407","0"
