fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","0.44738","0.44738","0.4386","0.43860","21611","0"
"2005-01-05","0.42106","0.42106","0.40352","0.42106","131636","0"
"2005-01-06","0.40352","0.42106","0.39913","0.39913","80004","0"
"2005-01-07","0.40352","0.41229","0.40352","0.41229","34199","0"
"2005-01-10","0.41229","0.41229","0.40352","0.41229","85612","0"
"2005-01-11","0.41229","0.41229","0.40352","0.40790","127134","0"
"2005-01-12","0.40790","0.4079","0.4079","0.40790","17100","0"
"2005-01-13","0.41229","0.41229","0.41229","0.41229","36607","0"
"2005-01-17","0.41229","0.41229","0.41229","0.41229","4401","0"
"2005-01-18","0.41229","0.41229","0.41229","0.41229","52439","0"
"2005-01-19","0.42106","0.42106","0.41229","0.41229","95998","0"
"2005-01-20","0.40790","0.4079","0.40352","0.40352","34199","0"
"2005-01-21","0.41229","0.41229","0.40352","0.40352","28156","0"
"2005-01-25","0.40352","0.40352","0.39913","0.39913","46175","0"
"2005-01-26","0.39474","0.42106","0.39474","0.42106","58872","0"
"2005-01-27","0.42106","0.42983","0.42106","0.42983","19157","0"
"2005-01-28","0.41229","0.42106","0.41229","0.42106","78599","0"
"2005-02-01","0.40790","0.41053","0.4079","0.41053","31486","0"
"2005-02-02","0.41229","0.41229","0.40615","0.40615","42980","0"
"2005-02-03","0.40878","0.41229","0.40615","0.41229","51886","0"
"2005-02-04","0.40790","0.41667","0.40615","0.41667","36417","0"
"2005-02-07","0.42106","0.42106","0.4079","0.41229","92338","0"
"2005-02-08","0.41229","0.44299","0.41229","0.44299","66828","0"
"2005-02-09","0.42106","0.45615","0.42106","0.43422","44322","0"
"2005-02-10","0.42545","0.42545","0.42106","0.42106","72959","0"
"2005-02-11","0.41229","0.42983","0.41229","0.42983","172620","0"
"2005-02-14","0.43860","0.4386","0.42983","0.42983","79574","0"
"2005-02-15","0.41229","0.42106","0.41229","0.42106","62257","0"
"2005-02-16","0.42983","0.42983","0.42106","0.42106","54874","0"
"2005-02-17","0.41667","0.42983","0.41667","0.42983","60745","0"
"2005-02-18","0.43860","0.4386","0.41667","0.41667","98409","0"
"2005-02-21","0.42106","0.42106","0.41667","0.41667","37415","0"
"2005-02-22","0.42983","0.42983","0.42983","0.42983","19237","0"
"2005-02-23","0.42983","0.42983","0.41667","0.41667","42907","0"
"2005-02-24","0.42106","0.42106","0.41667","0.41667","42176","0"
"2005-02-25","0.43860","0.4386","0.42106","0.42106","80859","0"
"2005-02-28","0.42106","0.42983","0.42106","0.42983","121639","0"
"2005-03-01","0.43860","0.4386","0.4386","0.43860","13668","0"
"2005-03-02","0.42983","0.43422","0.42983","0.42983","45523","0"
"2005-03-03","0.43860","0.4386","0.42983","0.43422","107446","0"
"2005-03-04","0.42983","0.45615","0.42983","0.45615","135044","0"
"2005-03-07","0.46492","0.47369","0.46492","0.46492","193722","0"
"2005-03-08","0.47194","0.47808","0.45615","0.45615","88604","0"
"2005-03-09","0.44738","0.44738","0.43422","0.43597","131440","0"
"2005-03-10","0.42983","0.42983","0.41667","0.42983","116469","0"
"2005-03-11","0.43422","0.43422","0.42545","0.42545","31463","0"
"2005-03-14","0.41931","0.42106","0.41667","0.42106","44245","0"
"2005-03-15","0.43860","0.4386","0.42106","0.42106","61195","0"
"2005-03-16","0.42983","0.42983","0.42106","0.42106","73033","0"
"2005-03-17","0.42545","0.42545","0.41667","0.41667","27816","0"
"2005-03-18","0.42106","0.4386","0.42106","0.43860","19858","0"
"2005-03-21","0.43860","0.4386","0.41229","0.42983","66233","0"
"2005-03-23","0.41667","0.42983","0.41667","0.42983","27909","0"
"2005-03-28","0.42983","0.42983","0.42106","0.42106","14649","0"
"2005-03-30","0.42106","0.42106","0.42106","0.42106","21841","0"
"2005-04-01","0.41229","0.42106","0.41229","0.42106","13281","0"
"2005-04-05","0.40790","0.4272","0.4079","0.41667","27709","0"
"2005-04-06","0.42720","0.42983","0.4079","0.41229","29356","0"
"2005-04-07","0.41229","0.41229","0.39474","0.40352","53750","0"
"2005-04-08","0.39474","0.40352","0.3772","0.38597","81071","0"
"2005-04-11","0.38597","0.38597","0.3693","0.38159","80802","0"
"2005-04-12","0.38597","0.38597","0.37457","0.37457","28520","0"
"2005-04-13","0.38597","0.41141","0.3772","0.37720","83995","0"
"2005-04-14","0.38159","0.38159","0.37281","0.37720","74942","0"
"2005-04-15","0.37720","0.39913","0.3772","0.39913","172308","0"
"2005-04-19","0.37808","0.39913","0.37808","0.39474","33958","0"
"2005-04-20","0.39474","0.39474","0.39474","0.39474","19950","0"
"2005-04-21","0.39474","0.39825","0.39474","0.39825","53294","0"
"2005-04-25","0.39650","0.39825","0.3965","0.39825","26220","0"
"2005-04-26","0.39825","0.39913","0.39825","0.39913","37583","0"
"2005-04-27","0.39036","0.40352","0.39036","0.40352","45344","0"
"2005-04-28","0.39474","0.41229","0.39474","0.39474","69311","0"
"2005-04-29","0.39474","0.41229","0.39474","0.41229","27360","0"
"2005-05-02","0.40264","0.40352","0.40264","0.40352","16530","0"
"2005-05-03","0.40264","0.40352","0.40264","0.40352","99501","0"
"2005-05-04","0.40790","0.41229","0.4079","0.40790","44459","0"
"2005-05-05","0.40790","0.4079","0.40352","0.40352","19608","0"
"2005-05-06","0.44387","0.49387","0.4386","0.47369","530891","0"
"2005-05-09","0.47369","0.48422","0.46492","0.47369","102416","0"
"2005-05-10","0.45615","0.45615","0.44738","0.44738","14820","0"
"2005-05-11","0.46492","0.5351","0.46492","0.51317","139381","0"
"2005-05-12","0.52194","0.53071","0.50001","0.50001","208030","0"
"2005-05-13","0.49124","0.51755","0.48246","0.50878","57569","0"
"2005-05-16","0.51755","0.52633","0.50878","0.51141","80917","0"
"2005-05-17","0.51054","0.57457","0.50001","0.56668","302092","0"
"2005-05-18","0.57019","0.59212","0.57019","0.58773","316534","0"
"2005-05-19","0.57896","0.5965","0.57896","0.59212","141145","0"
"2005-05-20","0.57896","0.60527","0.56141","0.60527","45140","0"
"2005-05-23","0.61931","0.63159","0.61931","0.63159","163367","0"
"2005-05-24","0.64036","0.65352","0.63159","0.64475","92826","0"
"2005-05-26","0.64036","0.64475","0.64036","0.64475","18646","0"
"2005-05-27","0.64913","0.65791","0.64036","0.65791","197777","0"
"2005-05-30","0.66229","0.70177","0.66229","0.69299","181422","0"
"2005-05-31","0.70177","0.70177","0.68422","0.69212","85750","0"
"2005-06-01","0.69124","0.69299","0.68422","0.69299","79799","0"
"2005-06-02","0.69299","0.70177","0.67106","0.67545","130587","0"
"2005-06-03","0.65791","0.67984","0.61405","0.61580","116765","0"
"2005-06-06","0.61580","0.62282","0.60527","0.60527","38759","0"
"2005-06-07","0.60966","0.64475","0.5965","0.64475","74012","0"
"2005-06-08","0.64036","0.64475","0.63159","0.64475","29559","0"
"2005-06-09","0.61405","0.62282","0.61405","0.62282","63370","0"
"2005-06-13","0.63159","0.63159","0.63159","0.63159","3420","0"
"2005-06-14","0.60966","0.62282","0.60527","0.62282","29069","0"
"2005-06-15","0.61405","0.61405","0.60966","0.61405","47309","0"
"2005-06-16","0.62282","0.62282","0.61843","0.62282","26790","0"
"2005-06-17","0.64913","0.64913","0.6272","0.62720","13110","0"
"2005-06-21","0.62282","0.63159","0.62282","0.63159","23274","0"
"2005-06-23","0.61405","0.61405","0.61405","0.61405","18753","0"
"2005-06-27","0.60527","0.61405","0.60527","0.61405","41551","0"
"2005-06-28","0.61405","0.61405","0.61405","0.61405","3990","0"
"2005-06-29","0.63159","0.63159","0.62282","0.62282","26612","0"
"2005-06-30","0.62282","0.6272","0.60527","0.62720","71078","0"
"2005-07-01","0.62720","0.64036","0.62282","0.63598","77519","0"
"2005-07-04","0.64913","0.65791","0.63159","0.63598","41495","0"
"2005-07-05","0.63598","0.64475","0.6272","0.64475","167295","0"
"2005-07-06","0.64475","0.70878","0.64475","0.69299","602902","0"
"2005-07-07","0.68422","0.71493","0.68422","0.70177","218666","0"
"2005-07-08","0.65791","0.70177","0.65791","0.68422","51912","0"
"2005-07-11","0.69299","0.69299","0.68422","0.68422","20867","0"
"2005-07-12","0.66668","0.67545","0.66668","0.67545","101400","0"
"2005-07-13","0.66668","0.66668","0.66229","0.66668","27360","0"
"2005-07-14","0.66668","0.67545","0.65352","0.66668","110008","0"
"2005-07-15","0.67545","0.67545","0.66668","0.66668","30779","0"
"2005-07-18","0.69299","0.70615","0.67545","0.70177","130052","0"
"2005-07-19","0.70177","0.70615","0.70177","0.70615","36877","0"
"2005-07-20","0.71054","0.72808","0.71054","0.71493","246623","0"
"2005-07-21","0.72370","0.73247","0.71054","0.72808","138412","0"
"2005-07-22","0.72808","0.73247","0.71493","0.71931","97230","0"
"2005-07-25","0.71931","0.7237","0.71493","0.71493","62165","0"
"2005-07-26","0.71931","0.72808","0.71843","0.72370","64758","0"
"2005-07-27","0.72370","0.74563","0.7237","0.74563","174938","0"
"2005-07-28","0.74563","0.77194","0.74563","0.77107","163304","0"
"2005-07-29","0.77107","0.77633","0.75879","0.76317","61394","0"
"2005-08-01","0.75440","0.75879","0.74563","0.75352","55704","0"
"2005-08-02","0.76317","0.76317","0.74563","0.76317","63830","0"
"2005-08-03","0.74300","0.74563","0.72808","0.74563","34710","0"
"2005-08-04","0.74563","0.75879","0.72808","0.74563","36137","0"
"2005-08-05","0.76317","0.76317","0.71931","0.73247","94358","0"
"2005-08-08","0.71054","0.73686","0.71054","0.73686","17771","0"
"2005-08-09","0.75440","0.7544","0.72808","0.73247","38746","0"
"2005-08-10","0.72808","0.77194","0.72808","0.76317","279993","0"
"2005-08-11","0.77194","0.78949","0.74563","0.76142","297736","0"
"2005-08-12","0.75440","0.77194","0.7544","0.77194","131418","0"
"2005-08-16","0.77194","0.77194","0.76756","0.77194","32945","0"
"2005-08-17","0.75440","0.76317","0.7544","0.76317","7410","0"
"2005-08-18","0.78072","0.78861","0.75089","0.76317","36194","0"
"2005-08-19","0.76317","0.78072","0.76317","0.77984","120217","0"
"2005-08-22","0.78072","0.78949","0.77194","0.78949","102901","0"
"2005-08-23","0.77633","0.78072","0.77282","0.78072","11856","0"
"2005-08-24","0.77458","0.78072","0.73686","0.74563","126027","0"
"2005-08-25","0.78072","0.78686","0.7544","0.77194","42749","0"
"2005-08-26","0.77194","0.77194","0.76317","0.76756","14421","0"
"2005-08-29","0.75440","0.7544","0.74563","0.74563","44231","0"
"2005-08-30","0.73686","0.75001","0.70177","0.73686","93090","0"
"2005-08-31","0.73247","0.78949","0.72808","0.72808","79258","0"
"2005-09-01","0.75001","0.7544","0.75001","0.75001","33515","0"
"2005-09-02","0.74563","0.75265","0.73686","0.74563","164004","0"
"2005-09-05","0.71931","0.75001","0.71931","0.75001","34769","0"
"2005-09-06","0.74563","0.74563","0.73686","0.73686","48377","0"
"2005-09-07","0.71931","0.73686","0.71931","0.72370","75428","0"
"2005-09-08","0.72370","0.72808","0.71931","0.72808","25615","0"
"2005-09-09","0.74563","0.74563","0.7237","0.73247","109891","0"
"2005-09-12","0.72808","0.73422","0.7237","0.73422","29523","0"
"2005-09-13","0.72808","0.76317","0.72808","0.76317","112906","0"
"2005-09-14","0.75440","0.75879","0.7544","0.75879","54630","0"
"2005-09-15","0.76317","0.78949","0.76317","0.77633","40469","0"
"2005-09-16","0.75001","0.76317","0.75001","0.76317","15504","0"
"2005-09-19","0.76317","0.76317","0.74563","0.75879","31235","0"
"2005-09-20","0.75001","0.7544","0.74563","0.74563","22982","0"
"2005-09-21","0.75001","0.76317","0.73686","0.75879","108902","0"
"2005-09-22","0.76317","0.78773","0.76317","0.78510","197736","0"
"2005-09-23","0.78861","0.85089","0.78861","0.84651","1090137","0"
"2005-09-26","0.84212","0.87545","0.84212","0.87282","489887","0"
"2005-09-27","0.87721","0.89475","0.86405","0.87721","427480","0"
"2005-09-28","0.89475","0.94739","0.89475","0.94739","718209","0"
"2005-09-29","0.95616","0.96493","0.9123","0.95616","509833","0"
"2005-09-30","0.96493","1.00879","0.96493","0.98247","701786","0"
"2005-10-03","0.98247","0.99125","0.95616","0.97370","213995","0"
"2005-10-04","0.99125","0.99125","0.92984","0.95616","184910","0"
"2005-10-05","0.94739","0.94739","0.88598","0.94739","150977","0"
"2005-10-06","0.94739","1.02633","0.94739","0.99125","693078","0"
"2005-10-07","1.02633","1.02633","0.99125","1.01756","427744","0"
"2005-10-11","1.02633","1.02633","0.9737","1.00002","118756","0"
"2005-10-12","0.97370","0.9737","0.92984","0.96493","148148","0"
"2005-10-13","0.92107","0.94739","0.92107","0.94739","185338","0"
"2005-10-14","0.93861","0.99125","0.93861","0.93861","127286","0"
"2005-10-17","0.93861","1.02633","0.93861","0.99125","187178","0"
"2005-10-18","0.99125","0.99125","0.93861","0.96493","99178","0"
"2005-10-19","0.97370","0.99125","0.92107","0.99125","134815","0"
"2005-10-20","0.97370","0.98247","0.94739","0.96493","28617","0"
"2005-10-21","0.97370","0.9737","0.94739","0.97370","166437","0"
"2005-10-24","0.97370","0.9737","0.96493","0.97370","127875","0"
"2005-10-25","0.97370","0.9737","0.93861","0.95616","136209","0"
"2005-10-26","0.95616","0.96493","0.94739","0.95616","129625","0"
"2005-10-27","0.94739","0.94739","0.89475","0.93861","53829","0"
"2005-10-28","0.94739","0.94739","0.92107","0.93861","40241","0"
"2005-10-31","0.94739","0.95616","0.94739","0.94739","25737","0"
"2005-11-01","0.96493","0.96493","0.9123","0.91230","25740","0"
"2005-11-02","0.91230","0.94739","0.9123","0.94739","13703","0"
"2005-11-03","0.96493","0.96493","0.93861","0.95616","47036","0"
"2005-11-04","0.94739","0.94739","0.94739","0.94739","4302","0"
"2005-11-07","0.92107","0.93861","0.9123","0.93861","8920","0"
"2005-11-08","0.89475","0.92107","0.89475","0.92107","6868","0"
"2005-11-09","0.90353","0.90353","0.88598","0.90353","41521","0"
"2005-11-10","0.94739","1.16669","0.92984","1.16669","1097158","0"
"2005-11-11","1.21932","1.26318","1.18423","1.20178","1083503","0"
"2005-11-14","1.21055","1.31581","1.14914","1.31581","884727","0"
"2005-11-15","1.31581","1.33336","1.22809","1.26318","278577","0"
"2005-11-16","1.22809","1.24564","1.18423","1.21932","210789","0"
"2005-11-17","1.22809","1.30704","1.21932","1.24564","138242","0"
"2005-11-18","1.22809","1.25441","1.18423","1.21932","82144","0"
"2005-11-21","1.21932","1.22809","1.193","1.19300","57862","0"
"2005-11-22","1.19300","1.21055","1.18423","1.21055","101914","0"
"2005-11-23","1.18423","1.22809","1.18423","1.22809","110301","0"
"2005-11-24","1.22809","1.41231","1.22809","1.41231","704689","0"
"2005-11-25","1.41231","1.42985","1.35967","1.37722","304996","0"
"2005-11-28","1.38599","1.40353","1.24564","1.31581","522131","0"
"2005-11-29","1.27195","1.33336","1.27195","1.33336","180646","0"
"2005-11-30","1.35090","1.41231","1.3509","1.37722","316220","0"
"2005-12-01","1.38599","1.40353","1.35967","1.35967","170672","0"
"2005-12-02","1.38599","1.38599","1.33336","1.35090","103094","0"
"2005-12-05","1.35967","1.37722","1.30704","1.33336","108769","0"
"2005-12-06","1.22809","1.40353","1.22809","1.39476","232510","0"
"2005-12-07","1.42108","1.43862","1.31581","1.31581","309976","0"
"2005-12-09","1.31581","1.38599","1.31581","1.33336","92718","0"
"2005-12-12","1.33336","1.35967","1.31581","1.31581","58604","0"
"2005-12-13","1.29827","1.29827","1.24564","1.28072","82601","0"
"2005-12-14","1.28072","1.31581","1.28072","1.30704","101980","0"
"2005-12-15","1.31581","1.35967","1.29827","1.35090","321081","0"
"2005-12-16","1.37722","1.38599","1.29827","1.30704","126913","0"
"2005-12-19","1.28072","1.28072","1.27195","1.27195","46039","0"
"2005-12-20","1.28072","1.29827","1.25441","1.25441","30287","0"
"2005-12-21","1.25441","1.27195","1.25441","1.25441","257316","0"
"2005-12-22","1.27195","1.2895","1.24564","1.25441","90542","0"
"2005-12-23","1.25441","1.27195","1.25441","1.27195","63821","0"
"2005-12-26","1.27195","1.31581","1.27195","1.28950","81270","0"
"2005-12-27","1.31581","1.31581","1.2895","1.30704","81495","0"
"2005-12-28","1.30704","1.30704","1.29827","1.29827","35865","0"
"2005-12-29","1.31581","1.36845","1.31581","1.36845","107704","0"
"2006-01-02","1.38599","1.49125","1.37722","1.45617","335277","0"
"2006-01-03","1.45617","1.52634","1.45617","1.50880","387514","0"
"2006-01-04","1.51757","1.51757","1.47371","1.50003","83285","0"
"2006-01-05","1.47371","1.49125","1.47371","1.47371","118321","0"
"2006-01-06","1.47371","1.54389","1.45617","1.53512","288256","0"
"2006-01-09","1.53512","1.57898","1.53512","1.53512","94342","0"
"2006-01-10","1.49125","1.49125","1.46494","1.49125","94862","0"
"2006-01-11","1.49125","1.51757","1.47371","1.51757","79104","0"
"2006-01-12","1.51757","1.51757","1.48248","1.49125","37690","0"
"2006-01-13","1.48248","1.53512","1.48248","1.50880","82680","0"
"2006-01-16","1.50880","1.52634","1.49125","1.50003","109802","0"
"2006-01-17","1.48248","1.50003","1.48248","1.48248","61880","0"
"2006-01-18","1.46494","1.46494","1.42108","1.44739","78947","0"
"2006-01-19","1.45617","1.48248","1.45617","1.47371","80526","0"
"2006-01-20","1.46494","1.46494","1.43862","1.44739","43694","0"
"2006-01-23","1.44739","1.55266","1.44739","1.52634","436726","0"
"2006-01-24","1.54389","1.60529","1.54389","1.59652","254587","0"
"2006-01-25","1.60529","1.61406","1.58775","1.59652","133836","0"
"2006-01-26","1.59652","1.59652","1.56143","1.57020","112647","0"
"2006-01-27","1.58775","1.58775","1.56143","1.57020","104961","0"
"2006-01-30","1.58775","1.58775","1.55266","1.55266","191603","0"
"2006-01-31","1.55266","1.5702","1.52634","1.55266","281908","0"
"2006-02-01","1.52634","1.57898","1.52634","1.54389","118739","0"
"2006-02-02","1.58775","1.58775","1.53512","1.53512","101099","0"
"2006-02-03","1.53512","1.55266","1.52634","1.52634","31652","0"
"2006-02-06","1.52634","1.54389","1.52634","1.54389","70385","0"
"2006-02-07","1.56143","1.56143","1.51757","1.52634","83035","0"
"2006-02-08","1.49125","1.53512","1.49125","1.53512","25872","0"
"2006-02-09","1.53512","1.55266","1.53512","1.53512","65093","0"
"2006-02-10","1.52634","1.52634","1.50003","1.52634","32544","0"
