fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","2.43751","2.48265","2.43751","2.45256","144554","0"
"2005-01-04","2.48265","2.48265","2.36981","2.38485","35271","0"
"2005-01-05","2.33219","2.40742","2.25696","2.40742","70844","0"
"2005-01-06","2.41494","2.44504","2.40742","2.40742","54501","0"
"2005-01-07","2.40742","2.44504","2.38485","2.43751","44569","0"
"2005-01-10","2.43751","2.62559","2.43751","2.62559","42934","0"
"2005-01-11","2.59550","2.5955","2.48265","2.55036","49945","0"
"2005-01-12","2.55036","2.56541","2.50522","2.55036","93652","0"
"2005-01-13","2.52027","2.53532","2.48265","2.52027","32873","0"
"2005-01-14","2.48265","2.48265","2.48265","2.48265","8238","0"
"2005-01-17","2.52027","2.54284","2.4977","2.53532","23162","0"
"2005-01-18","2.59550","2.5955","2.55036","2.58798","31756","0"
"2005-01-19","2.58798","2.5955","2.55789","2.59550","16232","0"
"2005-01-20","2.55789","2.58798","2.55789","2.58798","20749","0"
"2005-01-21","2.59550","2.63312","2.5955","2.63312","15846","0"
"2005-01-24","2.60302","2.63312","2.60302","2.63312","15127","0"
"2005-01-25","2.63312","2.63312","2.5955","2.59550","3692","0"
"2005-01-26","2.63312","2.63312","2.5955","2.63312","34649","0"
"2005-01-27","2.64816","2.64816","2.5955","2.63312","22767","0"
"2005-01-28","2.63312","2.63312","2.5955","2.61807","18936","0"
"2005-01-31","2.61807","2.63312","2.61807","2.63312","9271","0"
"2005-02-01","2.63312","2.63312","2.62559","2.62559","8683","0"
"2005-02-02","2.60302","2.63312","2.5955","2.61055","30112","0"
"2005-02-03","2.61055","2.62559","2.58045","2.62559","12175","0"
"2005-02-04","2.63312","2.63312","2.5955","2.62559","13935","0"
"2005-02-07","2.61055","2.61055","2.58798","2.61055","26558","0"
"2005-02-08","2.59550","2.5955","2.54284","2.58798","78574","0"
"2005-02-09","2.55789","2.58045","2.55036","2.58045","21401","0"
"2005-02-10","2.55789","2.55789","2.54284","2.54284","10315","0"
"2005-02-11","2.54284","2.54284","2.52027","2.54284","26571","0"
"2005-02-14","2.54284","2.58798","2.54284","2.58045","72203","0"
"2005-02-15","2.58045","2.58045","2.54284","2.55789","41302","0"
"2005-02-16","2.55789","2.5955","2.52779","2.59550","46072","0"
"2005-02-17","2.59550","2.73092","2.5955","2.70835","121760","0"
"2005-02-18","2.78358","2.78358","2.64816","2.68578","38470","0"
"2005-02-21","2.68578","2.70835","2.58045","2.61807","78025","0"
"2005-02-22","2.63312","2.63312","2.58045","2.61807","17826","0"
"2005-02-23","2.62559","2.62559","2.55789","2.55789","41941","0"
