fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","1.89000","1.9","1.87","1.88000","44900","0"
"2005-01-04","1.83000","1.84","1.81","1.84000","20760","0"
"2005-01-05","1.80000","1.81","1.74","1.76000","94918","0"
"2005-01-06","1.80000","1.8","1.8","1.80000","30814","0"
"2005-01-07","1.78000","1.78","1.75","1.78000","32400","0"
"2005-01-10","1.78000","1.84","1.78","1.84000","99750","0"
"2005-01-11","1.90000","1.9","1.84","1.87000","25048","0"
"2005-01-12","1.86000","1.86","1.85","1.85000","6329","0"
"2005-01-13","1.80000","1.8","1.8","1.80000","37634","0"
"2005-01-14","1.78000","1.8","1.76","1.80000","20120","0"
"2005-01-17","1.80000","1.8","1.8","1.80000","5697","0"
"2005-01-18","1.78000","1.78","1.77","1.77000","35987","0"
"2005-01-19","1.78000","1.8","1.76","1.76000","52010","0"
"2005-01-20","1.78000","1.78","1.73","1.77000","21055","0"
"2005-01-21","1.76000","1.76","1.75","1.76000","7400","0"
"2005-01-24","1.75000","1.76","1.75","1.75000","8097","0"
"2005-01-25","1.75000","1.75","1.75","1.75000","4408","0"
"2005-01-27","1.80000","1.8","1.78","1.78000","15235","0"
"2005-01-28","1.80000","1.83","1.8","1.83000","37400","0"
"2005-01-31","1.79000","1.8","1.79","1.80000","30832","0"
"2005-02-01","1.83000","1.83","1.83","1.83000","29555","0"
"2005-02-02","1.80000","1.8","1.8","1.80000","19750","0"
"2005-02-03","1.80000","1.83","1.8","1.83000","14086","0"
"2005-02-04","1.83000","1.86","1.83","1.86000","48440","0"
"2005-02-07","1.82000","1.84","1.82","1.84000","24850","0"
"2005-02-08","1.84000","1.85","1.82","1.84000","25856","0"
"2005-02-09","1.84000","1.9","1.8","1.90000","89697","0"
"2005-02-10","1.85000","1.9","1.85","1.89000","59774","0"
"2005-02-11","1.85000","1.96","1.85","1.95000","155508","0"
"2005-02-14","1.97000","2.01","1.95","2.00000","323010","0"
"2005-02-15","2.00000","2","1.95","1.95000","23440","0"
"2005-02-16","1.95000","1.98","1.92","1.97000","134191","0"
"2005-02-17","1.95000","2.05","1.95","2.04000","191207","0"
"2005-02-18","2.06000","2.15","2.04","2.14000","238025","0"
"2005-02-21","2.22000","2.22","2.05","2.10000","180036","0"
"2005-02-22","2.10000","2.12","2.05","2.05000","40808","0"
"2005-02-23","2.05000","2.07","2","2.00000","125223","0"
"2005-02-24","1.97000","1.98","1.9","1.95000","76020","0"
"2005-02-25","1.96000","2","1.92","1.92000","109075","0"
"2005-02-28","1.98000","2","1.92","1.92000","136397","0"
"2005-03-01","1.92000","1.98","1.92","1.97000","75939","0"
"2005-03-02","2.00000","2","1.93","1.93000","64336","0"
"2005-03-03","1.90000","1.96","1.9","1.90000","107395","0"
"2005-03-04","1.95000","2","1.9","1.90000","89369","0"
"2005-03-07","1.90000","1.94","1.85","1.92000","80743","0"
"2005-03-08","1.94000","2.04","1.94","1.98000","241418","0"
"2005-03-09","2.00000","2.03","1.92","1.98000","174930","0"
"2005-03-10","1.95000","1.95","1.83","1.85000","148724","0"
"2005-03-11","1.88000","1.91","1.88","1.88000","27145","0"
"2005-03-14","1.75000","1.8","1.75","1.75000","58000","0"
"2005-03-15","1.78000","1.8","1.7","1.70000","151952","0"
"2005-03-16","1.72000","1.73","1.7","1.73000","47086","0"
"2005-03-17","1.76000","1.78","1.75","1.78000","47500","0"
"2005-03-18","1.80000","1.8","1.75","1.76000","31647","0"
"2005-03-21","1.77000","1.77","1.7","1.70000","43496","0"
"2005-03-22","1.68000","1.7","1.65","1.65000","118104","0"
"2005-03-23","1.64000","1.68","1.61","1.61000","47179","0"
"2005-03-28","1.57000","1.59","1.56","1.56000","65459","0"
"2005-03-29","1.56000","1.59","1.56","1.58000","35234","0"
"2005-03-30","1.60000","1.65","1.6","1.62000","40220","0"
"2005-03-31","1.60000","1.62","1.6","1.62000","8148","0"
"2005-04-01","1.62000","1.65","1.62","1.64000","39799","0"
"2005-04-04","1.61000","1.61","1.61","1.61000","5600","0"
"2005-04-05","1.60000","1.6","1.6","1.60000","4738","0"
"2005-04-06","1.64000","1.66","1.64","1.66000","23501","0"
"2005-04-07","1.67000","1.67","1.66","1.66000","6600","0"
"2005-04-08","1.65000","1.65","1.65","1.65000","8000","0"
"2005-04-12","1.60000","1.6","1.59","1.59000","36225","0"
"2005-04-13","1.59000","1.59","1.57","1.58000","54146","0"
"2005-04-14","1.55000","1.55","1.52","1.54000","22751","0"
"2005-04-15","1.53000","1.54","1.52","1.52000","20064","0"
"2005-04-18","1.52000","1.54","1.52","1.54000","26818","0"
"2005-04-19","1.60000","1.61","1.59","1.59000","13515","0"
"2005-04-20","1.60000","1.6","1.6","1.60000","7000","0"
"2005-04-21","1.57000","1.62","1.57","1.62000","12938","0"
"2005-04-22","1.63000","1.63","1.61","1.63000","37375","0"
"2005-04-25","1.63000","1.63","1.61","1.61000","20022","0"
"2005-04-26","1.60000","1.64","1.55","1.55000","57350","0"
"2005-04-27","1.58000","1.62","1.58","1.60000","9620","0"
"2005-04-28","1.59000","1.59","1.58","1.58000","15000","0"
"2005-04-29","1.60000","1.6","1.59","1.59000","18971","0"
"2005-05-02","1.60000","1.63","1.6","1.60000","24060","0"
"2005-05-03","1.60000","1.61","1.6","1.61000","22118","0"
"2005-05-04","1.62000","1.65","1.61","1.65000","43132","0"
"2005-05-05","1.65000","1.67","1.62","1.67000","57129","0"
"2005-05-06","1.68000","1.73","1.67","1.72000","72003","0"
"2005-05-09","1.74000","1.75","1.72","1.73000","51747","0"
"2005-05-10","1.73000","1.73","1.72","1.72000","36818","0"
"2005-05-11","1.72000","1.72","1.69","1.72000","50534","0"
"2005-05-12","1.76000","1.76","1.71","1.71000","43226","0"
"2005-05-13","1.67000","1.79","1.67","1.79000","61184","0"
"2005-05-16","1.82000","1.83","1.76","1.78000","170883","0"
"2005-05-17","1.76000","1.78","1.76","1.78000","81827","0"
"2005-05-18","1.79000","1.82","1.78","1.78000","103385","0"
"2005-05-19","1.78000","1.8","1.76","1.76000","80730","0"
"2005-05-20","1.74000","1.76","1.74","1.75000","38000","0"
"2005-05-23","1.75000","1.75","1.71","1.71000","22079","0"
"2005-05-24","1.75000","1.76","1.74","1.74000","24352","0"
"2005-05-27","1.72000","1.72","1.71","1.72000","39750","0"
"2005-05-30","1.75000","1.76","1.74","1.76000","51806","0"
"2005-05-31","1.74000","1.74","1.72","1.72000","23191","0"
"2005-06-01","1.73000","1.77","1.72","1.77000","50470","0"
"2005-06-02","1.77000","1.8","1.75","1.76000","88069","0"
"2005-06-03","1.77000","1.79","1.71","1.71000","25755","0"
"2005-06-06","1.65000","1.7","1.65","1.67000","28004","0"
"2005-06-07","1.68000","1.68","1.65","1.65000","111030","0"
