fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","4.39000","4.39","4.35","4.35000","4545","0"
"2005-01-04","4.35000","4.35","4.25","4.25000","5000","0"
"2005-01-05","4.10000","4.1","4.1","4.10000","1024","0"
"2005-01-06","4.09000","4.09","4.09","4.09000","976","0"
"2005-01-07","4.10000","4.1","4.1","4.10000","2000","0"
"2005-01-10","4.10000","4.15","4.1","4.15000","26885","0"
"2005-01-11","4.15000","4.15","4.05","4.05000","5420","0"
"2005-01-12","4.05000","4.05","4","4.00000","4760","0"
"2005-01-13","4.00000","4","3.9","3.90000","5930","0"
"2005-01-14","4.00000","4","4","4.00000","1190","0"
"2005-01-17","4.00000","4.05","4","4.05000","9450","0"
"2005-01-18","4.05000","4.1","4.03","4.10000","14720","0"
"2005-01-19","4.05000","4.05","4","4.00000","5083","0"
"2005-01-20","4.00000","4","4","4.00000","1090","0"
"2005-01-21","4.00000","4","4","4.00000","500","0"
"2005-01-24","4.00000","4.03","4","4.03000","8435","0"
"2005-01-25","4.05000","4.08","4.05","4.08000","8000","0"
"2005-01-26","4.08000","4.12","4.08","4.12000","18500","0"
"2005-01-27","4.15000","4.23","4.15","4.23000","26200","0"
"2005-01-28","4.25000","4.25","4.25","4.25000","2682","0"
"2005-01-31","4.25000","4.35","4.25","4.30000","26370","0"
"2005-02-01","4.35000","4.35","4.35","4.35000","9600","0"
"2005-02-02","4.40000","4.45","4.4","4.42000","32685","0"
"2005-02-03","4.42000","4.45","4.42","4.45000","12000","0"
"2005-02-04","4.50000","4.5","4.45","4.50000","21820","0"
"2005-02-07","4.55000","4.7","4.55","4.55000","47910","0"
"2005-02-08","4.60000","4.65","4.6","4.61000","34330","0"
"2005-02-09","4.65000","4.8","4.65","4.75000","33000","0"
"2005-02-10","4.80000","4.81","4.8","4.80000","20790","0"
"2005-02-11","4.75000","4.75","4.7","4.70000","2715","0"
"2005-02-14","4.68000","4.7","4.68","4.70000","2082","0"
"2005-02-15","4.75000","4.75","4.75","4.75000","14775","0"
"2005-02-16","4.65000","4.65","4.65","4.65000","3000","0"
"2005-02-17","4.45000","4.55","4.37","4.55000","97199","0"
"2005-02-18","4.55000","4.55","4.45","4.45000","7194","0"
"2005-02-21","4.45000","4.45","4.3","4.35000","5454","0"
"2005-02-22","4.35000","4.45","4.35","4.40000","13541","0"
"2005-02-23","4.50000","4.5","4.48","4.48000","17568","0"
"2005-02-24","4.50000","4.65","4.5","4.58000","15290","0"
"2005-02-25","4.60000","4.75","4.58","4.75000","31166","0"
"2005-02-28","4.82000","4.85","4.82","4.83000","11717","0"
"2005-03-01","4.85000","4.86","4.85","4.85000","21010","0"
"2005-03-02","4.86000","4.86","4.75","4.79000","41698","0"
"2005-03-03","4.80000","4.86","4.79","4.84000","30800","0"
"2005-03-04","4.80000","4.9","4.8","4.88000","38140","0"
"2005-03-07","4.80000","5","4.8","5.00000","38590","0"
"2005-03-08","4.95000","4.95","4.92","4.92000","29910","0"
"2005-03-09","4.81000","4.82","4.81","4.82000","14242","0"
"2005-03-10","4.50000","4.5","4.5","4.50000","2000","0"
"2005-03-11","4.35000","4.38","4.32","4.32000","15425","0"
"2005-03-14","4.30000","4.3","4","4.05000","38050","0"
"2005-03-15","4.10000","4.15","4.1","4.15000","26630","0"
"2005-03-16","4.15000","4.25","4.15","4.25000","6500","0"
"2005-03-17","4.20000","4.2","4.2","4.20000","7000","0"
"2005-03-18","4.16000","4.16","4.16","4.16000","1550","0"
"2005-03-21","4.10000","4.15","4.1","4.15000","33500","0"
"2005-03-22","4.10000","4.1","4.1","4.10000","37200","0"
"2005-03-23","4.05000","4.05","3.86","3.86000","10442","0"
"2005-03-28","3.96000","3.96","3.96","3.96000","1000","0"
"2005-03-29","4.00000","4","4","4.00000","1550","0"
"2005-03-30","3.95000","4","3.95","4.00000","326451","0"
"2005-03-31","4.00000","4","4","4.00000","740","0"
"2005-04-01","4.00000","4","4","4.00000","2700","0"
"2005-04-04","3.95000","4","3.95","4.00000","22280","0"
"2005-04-05","4.00000","4","4","4.00000","1000","0"
"2005-04-06","4.00000","4.1","4","4.10000","1300","0"
"2005-04-07","4.00000","4","4","4.00000","1000","0"
"2005-04-08","4.00000","4","4","4.00000","2400","0"
"2005-04-11","4.00000","4","3.99","3.99000","1050","0"
"2005-04-12","3.95000","3.95","3.9","3.90000","2750","0"
"2005-04-13","3.90000","3.9","3.85","3.85000","10810","0"
"2005-04-14","3.69000","3.69","3.69","3.69000","740","0"
"2005-04-15","3.45000","3.5","3.4","3.44000","5228","0"
"2005-04-18","3.42000","3.45","3.4","3.40000","7000","0"
"2005-04-19","3.40000","3.4","3.4","3.40000","4950","0"
"2005-04-20","3.41000","3.41","3.28","3.28000","21000","0"
"2005-04-21","3.30000","3.3","3.16","3.20000","20410","0"
"2005-04-22","3.23000","3.28","3.22","3.22000","30400","0"
"2005-04-25","3.22000","3.22","3.15","3.16000","29435","0"
"2005-04-26","3.16000","3.21","3.16","3.20000","32145","0"
"2005-04-27","3.16000","3.16","3.02","3.05000","75105","0"
"2005-04-28","3.00000","3.02","2.92","2.93000","586911","0"
"2005-04-29","2.98000","3.04","2.96","3.02000","188800","0"
"2005-05-02","3.05000","3.1","3.05","3.08000","143430","0"
"2005-05-03","3.12000","3.24","3.12","3.21000","245291","0"
"2005-05-04","3.31000","3.39","3.31","3.38000","135836","0"
"2005-05-05","3.38000","3.38","3.18","3.25000","236549","0"
"2005-05-06","3.25000","3.25","3.15","3.23000","164648","0"
"2005-05-09","3.10000","3.15","3.05","3.09000","177483","0"
"2005-05-10","3.12000","3.25","3.12","3.23000","123450","0"
"2005-05-11","3.25000","3.48","3.25","3.45000","159422","0"
"2005-05-12","3.48000","3.53","3.41","3.44000","191206","0"
"2005-05-13","3.40000","3.6","3.38","3.50000","102132","0"
"2005-05-16","3.60000","3.63","3.55","3.58000","214676","0"
"2005-05-17","3.58000","3.58","3.48","3.50000","58846","0"
"2005-05-18","3.50000","3.56","3.45","3.56000","49844","0"
"2005-05-19","3.63000","3.65","3.58","3.65000","123487","0"
"2005-05-20","3.65000","3.69","3.63","3.68000","57719","0"
"2005-05-23","3.60000","3.62","3.56","3.62000","33771","0"
