fecha,apertura,maximo,minimo,cierre,volumen,openint
"2008-05-29","3.20000","3.21","3.18","3.20000","237803","0"
"2008-05-30","3.22000","3.22","3.18","3.22000","134930","0"
"2008-06-02","3.20000","3.2","3.18","3.19000","106799","0"
"2008-06-03","3.18000","3.19","3.16","3.19000","196046","0"
"2008-06-04","3.17000","3.17","3.15","3.17000","316742","0"
"2008-06-05","3.15000","3.15","3.13","3.13000","73616","0"
"2008-06-06","3.10000","3.1","3.1","3.10000","1000","0"
"2008-06-09","3.02000","3.04","3","3.00000","109795","0"
"2008-06-10","2.95000","2.95","2.85","2.90000","365725","0"
"2008-06-11","2.88000","2.88","2.87","2.87000","50780","0"
"2008-06-12","2.85000","2.85","2.84","2.84000","229806","0"
"2008-06-13","2.86000","2.9","2.86","2.90000","45000","0"
"2008-06-19","2.90000","2.9","2.9","2.90000","500","0"
"2008-06-20","2.90000","2.9","2.9","2.90000","2000","0"
"2008-06-23","2.80000","2.84","2.7","2.84000","456269","0"
"2008-06-24","2.84000","2.86","2.84","2.86000","14416","0"
"2008-06-25","2.80000","2.81","2.8","2.81000","98570","0"
"2008-06-26","2.80000","2.8","2.72","2.79000","137553","0"
"2008-06-27","2.79000","2.79","2.75","2.75000","102975","0"
"2008-06-30","2.70000","2.8","2.65","2.80000","605192","0"
"2008-07-08","2.60000","2.6","2.52","2.60000","222160","0"
"2008-07-14","2.60000","2.6","2.6","2.60000","751723","0"
"2008-07-15","2.55000","2.7","2.55","2.70000","14727","0"
"2008-07-17","2.85000","2.85","2.7","2.70000","5705","0"
"2008-07-21","2.78000","2.83","2.78","2.83000","3500","0"
"2008-07-24","2.62000","2.7","2.62","2.70000","201000","0"
"2008-07-25","2.63000","2.72","2.63","2.72000","162090","0"
"2008-07-28","2.70000","2.7","2.7","2.70000","832","0"
"2008-07-31","2.67000","2.79","2.67","2.79000","20000","0"
"2008-08-04","2.62000","2.7","2.62","2.70000","72113","0"
"2008-08-07","2.65000","2.65","2.65","2.65000","2640","0"
"2008-08-08","2.63000","2.65","2.6","2.65000","854598","0"
"2008-08-12","2.60000","2.65","2.6","2.65000","14052","0"
"2008-08-13","2.70000","2.7","2.7","2.70000","10582","0"
"2008-08-20","2.55000","2.7","2.55","2.70000","5000","0"
"2008-08-25","2.60000","2.75","2.6","2.75000","2000","0"
"2008-09-01","2.75000","2.75","2.75","2.75000","2130","0"
