fecha,apertura,maximo,minimo,cierre,volumen,openint
"2007-04-26","2.80000","2.85","2.75","2.76000","11247397","0"
"2007-04-27","2.78000","2.8","2.76","2.79000","5943577","0"
"2007-04-30","2.76000","2.84","2.75","2.81000","7235272","0"
"2007-05-02","2.80000","2.81","2.76","2.76000","2382285","0"
"2007-05-03","2.77000","2.77","2.75","2.76000","1346879","0"
"2007-05-04","2.79000","2.81","2.77","2.78000","2333765","0"
"2007-05-07","2.77000","2.78","2.74","2.76000","1528367","0"
"2007-05-08","2.72000","2.76","2.7","2.76000","748387","0"
"2007-05-09","2.74000","2.78","2.73","2.78000","915258","0"
"2007-05-10","2.77000","2.77","2.75","2.75000","1770811","0"
"2007-05-11","2.75000","2.8","2.75","2.78000","1041989","0"
"2007-05-14","2.78000","2.8","2.77","2.80000","1304639","0"
"2007-05-15","2.80000","2.81","2.76","2.77000","1926363","0"
"2007-05-16","2.78000","2.78","2.73","2.75000","1104185","0"
"2007-05-17","2.75000","2.79","2.74","2.79000","1685806","0"
"2007-05-18","2.79000","2.79","2.74","2.77000","1243645","0"
"2007-05-21","2.75000","2.75","2.72","2.75000","2053158","0"
"2007-05-22","2.74000","2.78","2.73","2.76000","1027370","0"
"2007-05-23","2.75000","2.81","2.75","2.79000","1484246","0"
"2007-05-24","2.78000","2.78","2.74","2.77000","1697215","0"
"2007-05-28","2.75000","2.76","2.74","2.76000","151271","0"
"2007-05-29","2.75000","2.76","2.74","2.76000","693400","0"
"2007-05-30","2.73000","2.79","2.73","2.78000","2151517","0"
"2007-05-31","2.77000","2.8","2.77","2.79000","2080884","0"
"2007-06-01","2.79000","2.84","2.78","2.84000","1290401","0"
"2007-06-04","2.84000","2.92","2.8","2.88000","3207798","0"
"2007-06-05","2.84000","2.88","2.8","2.87000","1737593","0"
"2007-06-06","2.84000","2.86","2.83","2.86000","445874","0"
"2007-06-07","2.86000","2.88","2.79","2.84000","866677","0"
"2007-06-08","2.84000","2.86","2.8","2.86000","1298591","0"
"2007-06-11","2.84000","2.9","2.83","2.87000","1323798","0"
"2007-06-12","2.84000","2.85","2.81","2.81000","2563697","0"
"2007-06-13","2.83000","2.89","2.83","2.89000","1537283","0"
"2007-06-14","2.89000","2.94","2.89","2.93000","3457333","0"
"2007-06-15","3.01000","3.05","2.99","3.02000","2797852","0"
"2007-06-19","3.14000","3.34","3.13","3.33000","6633880","0"
"2007-06-20","3.37000","3.38","3.27","3.27000","3021316","0"
"2007-06-21","3.22000","3.36","3.22","3.34000","2092320","0"
"2007-06-22","3.33000","3.39","3.32","3.36000","1553302","0"
"2007-06-25","3.34000","3.35","3.3","3.33000","1072887","0"
"2007-06-26","3.34000","3.34","3.19","3.28000","1716473","0"
"2007-06-27","3.24000","3.26","3.18","3.19000","1289313","0"
"2007-06-28","3.20000","3.22","3.13","3.14000","470837","0"
"2007-06-29","3.15000","3.22","3.14","3.14000","1106036","0"
"2007-07-02","3.17000","3.28","3.17","3.28000","801190","0"
"2007-07-03","3.28000","3.37","3.28","3.34000","844747","0"
"2007-07-04","3.35000","3.45","3.34","3.43000","342070","0"
"2007-07-05","3.43000","3.5","3.38","3.46000","1643589","0"
"2007-07-06","3.50000","3.53","3.37","3.42000","2101746","0"
"2007-07-10","3.48000","3.55","3.47","3.51000","1121407","0"
"2007-07-11","3.51000","3.55","3.48","3.54000","1480396","0"
"2007-07-12","3.55000","3.66","3.55","3.62000","1406230","0"
"2007-07-13","3.64000","3.8","3.64","3.80000","1130226","0"
"2007-07-16","3.82000","3.82","3.68","3.71000","1554405","0"
"2007-07-17","3.72000","3.74","3.69","3.70000","1134111","0"
"2007-07-18","3.69000","3.69","3.6","3.63000","691448","0"
"2007-07-19","3.63000","3.68","3.62","3.66000","977350","0"
"2007-07-20","3.60000","3.68","3.6","3.64000","287019","0"
"2007-07-23","3.64000","3.66","3.59","3.61000","457676","0"
"2007-07-24","3.59000","3.61","3.54","3.54000","579397","0"
"2007-07-25","3.54000","3.56","3.4","3.40000","760122","0"
"2007-07-26","3.36000","3.4","3.25","3.27000","720756","0"
"2007-07-27","3.32000","3.45","3.24","3.30000","1210046","0"
"2007-07-30","3.40000","3.46","3.34","3.41000","433379","0"
"2007-07-31","3.48000","3.48","3.36","3.41000","1525669","0"
"2007-08-01","3.38000","3.38","3.26","3.29000","1319277","0"
"2007-08-02","3.28000","3.39","3.27","3.35000","962282","0"
"2007-08-03","3.33000","3.34","3.3","3.30000","155972","0"
"2007-08-06","3.28000","3.28","3.19","3.22000","996128","0"
"2007-08-07","3.23000","3.3","3.23","3.30000","330493","0"
"2007-08-08","3.31000","3.34","3.27","3.30000","1175756","0"
"2007-08-09","3.22000","3.28","3.22","3.22000","175908","0"
"2007-08-10","3.22000","3.28","3.17","3.24000","376819","0"
"2007-08-13","3.25000","3.28","3.23","3.27000","193129","0"
"2007-08-14","3.28000","3.28","3.16","3.20000","851910","0"
"2007-08-15","3.17000","3.2","3","3.03000","472970","0"
"2007-08-16","2.90000","2.98","2.75","2.90000","2369625","0"
"2007-08-17","3.00000","3.05","2.93","3.05000","568977","0"
"2007-08-21","3.07000","3.08","3.02","3.08000","581984","0"
"2007-08-22","3.13000","3.2","3.13","3.20000","794640","0"
"2007-08-23","3.22000","3.25","3.2","3.25000","837817","0"
"2007-08-24","3.24000","3.35","3.23","3.33000","1514086","0"
"2007-08-27","3.28000","3.33","3.25","3.33000","823906","0"
"2007-08-28","3.16000","3.25","3.16","3.18000","873008","0"
"2007-08-29","3.19000","3.36","3.19","3.36000","834139","0"
"2007-08-30","3.36000","3.53","3.36","3.50000","1417040","0"
"2007-08-31","3.50000","3.56","3.46","3.50000","548037","0"
"2007-09-03","3.50000","3.5","3.45","3.46000","154195","0"
"2007-09-04","3.46000","3.47","3.36","3.44000","685951","0"
"2007-09-05","3.38000","3.52","3.37","3.48000","416415","0"
"2007-09-06","3.50000","3.53","3.42","3.50000","5382000","0"
"2007-09-07","3.37000","3.42","3.29","3.32000","558315","0"
"2007-09-10","3.39000","3.39","3.2","3.22000","1383203","0"
"2007-09-11","3.22000","3.23","3.19","3.22000","242524","0"
"2007-09-12","3.23000","3.29","3.23","3.23000","338420","0"
"2007-09-13","3.21000","3.22","3.17","3.17000","476971","0"
"2007-09-14","3.18000","3.33","3.17","3.33000","1235619","0"
"2007-09-17","3.38000","3.38","3.3","3.36000","343821","0"
"2007-09-18","3.38000","3.41","3.33","3.40000","313655","0"
