fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","5.21257","5.27131","5.20523","5.21257","1112685","0"
"2005-01-04","5.21257","5.2346","5.07308","5.09511","1003938","0"
"2005-01-05","5.04372","5.05106","4.90423","4.95562","1243330","0"
"2005-01-06","4.97764","5.03638","4.94828","4.95562","705101","0"
"2005-01-07","5.03638","5.0584","4.90423","4.94828","501110","0"
"2005-01-10","4.94828","5.08042","4.94828","5.06574","353435","0"
"2005-01-11","5.08777","5.19789","5.08777","5.13916","1379816","0"
"2005-01-12","5.15384","5.19055","5.07308","5.13182","542304","0"
"2005-01-13","5.15384","5.15384","5.02169","5.03638","262550","0"
"2005-01-14","5.05840","5.0584","4.97764","5.05840","302312","0"
"2005-01-17","5.05840","5.08042","5.03638","5.04372","48218","0"
"2005-01-18","5.04372","5.06574","4.95562","5.02903","250864","0"
"2005-01-19","5.02903","5.07308","4.95562","4.99967","220262","0"
"2005-01-20","4.99967","4.99967","4.88954","4.88954","486492","0"
"2005-01-21","4.90423","4.96296","4.90423","4.96296","135600","0"
"2005-01-24","4.94828","4.94828","4.84549","4.86752","163843","0"
"2005-01-25","4.86752","4.93359","4.83081","4.83081","150386","0"
"2005-01-26","4.84549","5.02903","4.84549","5.02903","304911","0"
"2005-01-27","5.05840","5.07308","5.01435","5.03638","631540","0"
"2005-01-28","5.05106","5.07308","4.99967","5.00701","211222","0"
"2005-01-31","5.01435","5.09511","4.97764","5.02903","558689","0"
"2005-02-01","5.03638","5.09511","5.02903","5.03638","950049","0"
"2005-02-02","5.02903","5.02903","4.86752","4.88954","1259992","0"
"2005-02-03","4.91891","5.05106","4.91891","5.04372","791177","0"
"2005-02-04","5.08042","5.20523","5.08042","5.19789","1613050","0"
"2005-02-07","5.21992","5.28599","5.21992","5.27131","1473748","0"
"2005-02-08","5.29333","5.35941","5.27131","5.34473","2397128","0"
"2005-02-09","5.38877","5.38877","5.30067","5.30802","1798999","0"
"2005-02-10","5.30802","5.3227","5.24928","5.27131","848597","0"
"2005-02-11","5.27131","5.29333","5.22726","5.24194","1016467","0"
"2005-02-14","5.26397","5.36675","5.26397","5.35207","873957","0"
"2005-02-15","5.38143","5.39612","5.24928","5.24928","1382388","0"
"2005-02-16","5.24928","5.31536","5.22726","5.28599","1106756","0"
"2005-02-17","5.30067","5.35941","5.28599","5.34473","1405953","0"
"2005-02-18","5.34473","5.37409","5.30802","5.32270","1522552","0"
"2005-02-21","5.35941","5.35941","5.19055","5.21257","1247732","0"
"2005-02-22","5.21257","5.27131","5.18321","5.22726","834533","0"
"2005-02-23","5.25663","5.28599","5.11713","5.11713","1112492","0"
"2005-02-24","5.15384","5.19055","5.02903","5.16853","970473","0"
"2005-02-25","5.17587","5.39612","5.17587","5.33738","2448036","0"
"2005-02-28","5.39612","5.43283","5.10979","5.11713","1009836","0"
"2005-03-01","5.14650","5.33004","5.10979","5.24928","1148813","0"
"2005-03-02","5.28599","5.35941","5.24928","5.25663","1125830","0"
"2005-03-03","5.25663","5.35941","5.25663","5.31536","2100243","0"
"2005-03-04","5.33004","5.55763","5.21992","5.43283","2589422","0"
"2005-03-07","5.45485","5.52092","5.39612","5.40346","715079","0"
"2005-03-08","5.41080","5.50624","5.35941","5.43283","556560","0"
"2005-03-09","5.46953","5.46953","5.06574","5.07308","2010055","0"
"2005-03-10","5.01435","5.05106","4.65461","4.84549","3219775","0"
"2005-03-11","4.84549","4.90423","4.73537","4.76473","757988","0"
"2005-03-14","4.82347","4.82347","4.5298","4.58119","1902209","0"
"2005-03-15","4.62524","4.75005","4.46373","4.48575","1702382","0"
"2005-03-16","4.52246","4.58853","4.47107","4.52980","620860","0"
"2005-03-17","4.55183","4.69132","4.55183","4.68398","1580753","0"
"2005-03-18","4.69132","4.75005","4.62524","4.69132","837902","0"
"2005-03-21","4.69866","4.69866","4.49309","4.52246","444629","0"
"2005-03-22","4.47107","4.54448","4.41233","4.42702","961613","0"
"2005-03-23","4.25816","4.33158","4.19208","4.22145","1524762","0"
"2005-03-28","4.14804","4.19943","4.08196","4.19208","1037274","0"
"2005-03-29","4.19943","4.36828","4.19943","4.32423","674379","0"
