fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","3.72000","3.72","3.59","3.63000","24482","0"
"2005-01-04","3.60000","3.6","3.53","3.54000","11359","0"
"2005-01-05","3.50000","3.5","3.4","3.43000","96576","0"
"2005-01-06","3.40000","3.47","3.4","3.43000","14290","0"
"2005-01-07","3.47000","3.47","3.4","3.40000","14379","0"
"2005-01-10","3.44000","3.49","3.44","3.49000","117490","0"
"2005-01-11","3.51000","3.59","3.51","3.59000","122749","0"
"2005-01-12","3.62000","3.66","3.59","3.61000","39854","0"
"2005-01-13","3.61000","3.61","3.58","3.58000","9361","0"
"2005-01-14","3.56000","3.56","3.53","3.53000","7850","0"
"2005-01-17","3.51000","3.53","3.48","3.53000","7815","0"
"2005-01-18","3.53000","3.54","3.45","3.45000","27847","0"
"2005-01-19","3.40000","3.5","3.4","3.46000","64697","0"
"2005-01-20","3.46000","3.49","3.42","3.45000","22750","0"
"2005-01-21","3.45000","3.45","3.45","3.45000","31267","0"
"2005-01-24","3.45000","3.48","3.45","3.46000","25530","0"
"2005-01-25","3.47000","3.54","3.47","3.52000","8890","0"
"2005-01-26","3.54000","3.64","3.54","3.64000","45477","0"
"2005-01-27","3.64000","3.67","3.64","3.66000","51273","0"
"2005-01-28","3.66000","3.66","3.6","3.60000","49404","0"
"2005-01-31","3.60000","3.65","3.6","3.60000","114243","0"
"2005-02-01","3.59000","3.62","3.58","3.60000","91548","0"
"2005-02-02","3.58000","3.59","3.57","3.59000","49008","0"
"2005-02-03","3.58000","3.65","3.58","3.65000","53573","0"
"2005-02-04","3.68000","3.7","3.68","3.69000","36033","0"
"2005-02-07","3.70000","3.72","3.63","3.66000","116036","0"
"2005-02-08","3.65000","3.74","3.65","3.70000","109667","0"
"2005-02-09","3.70000","3.74","3.62","3.71000","110620","0"
"2005-02-10","3.68000","3.68","3.63","3.63000","33406","0"
"2005-02-11","3.63000","3.67","3.63","3.66000","141969","0"
"2005-02-14","3.65000","3.8","3.65","3.80000","109858","0"
"2005-02-15","3.80000","3.82","3.77","3.77000","112826","0"
"2005-02-16","3.77000","3.8","3.75","3.80000","176531","0"
"2005-02-17","3.80000","3.8","3.75","3.76000","70548","0"
"2005-02-18","3.80000","3.8","3.74","3.75000","75768","0"
"2005-02-21","3.76000","3.76","3.61","3.66000","46029","0"
"2005-02-22","3.69000","3.71","3.58","3.70000","199251","0"
"2005-02-23","3.74000","3.74","3.65","3.65000","323325","0"
"2005-02-24","3.66000","3.7","3.6","3.66000","154744","0"
"2005-02-25","3.66000","3.77","3.65","3.67000","84640","0"
"2005-02-28","3.76000","3.8","3.68","3.68000","135621","0"
"2005-03-01","3.72000","3.83","3.68","3.83000","228049","0"
"2005-03-02","3.84000","3.89","3.82","3.83000","104459","0"
"2005-03-03","3.83000","3.9","3.8","3.86000","76623","0"
"2005-03-04","3.78000","3.89","3.77","3.82000","95487","0"
"2005-03-07","3.75000","3.85","3.75","3.85000","87383","0"
"2005-03-08","3.85000","3.86","3.82","3.82000","60018","0"
"2005-03-09","3.82000","3.82","3.73","3.77000","125993","0"
"2005-03-10","3.70000","3.7","3.41","3.56000","181061","0"
"2005-03-11","3.60000","3.6","3.5","3.52000","88666","0"
"2005-03-14","3.50000","3.5","3.3","3.37000","188495","0"
"2005-03-15","3.40000","3.47","3.4","3.43000","118519","0"
"2005-03-16","3.40000","3.45","3.4","3.40000","16139","0"
"2005-03-17","3.40000","3.68","3.4","3.68000","20097","0"
"2005-03-18","3.65000","3.67","3.58","3.62000","32764","0"
"2005-03-21","3.55000","3.58","3.55","3.58000","48921","0"
"2005-03-22","3.50000","3.6","3.5","3.60000","42377","0"
"2005-03-23","3.50000","3.55","3.47","3.50000","42302","0"
"2005-03-28","3.45000","3.46","3.42","3.46000","80163","0"
"2005-03-29","3.45000","3.46","3.4","3.40000","40828","0"
