fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","2.83224","2.83224","2.83224","2.83224","1606","0"
"2005-01-10","2.83224","2.83224","2.83224","2.83224","4590","0"
"2005-01-11","2.77778","2.81046","2.77778","2.77778","7344","0"
"2005-01-12","2.72331","2.72331","2.72331","2.72331","9693","0"
"2005-01-14","2.73421","2.73421","2.73421","2.73421","459","0"
"2005-01-17","2.73421","2.73421","2.73421","2.73421","3617","0"
"2005-01-19","2.77778","2.79956","2.77778","2.79956","1606","0"
"2005-01-21","2.72331","2.79956","2.72331","2.79956","5967","0"
"2005-01-25","2.79956","2.79956","2.79956","2.79956","1836","0"
"2005-01-26","2.78867","2.81046","2.75599","2.81046","19443","0"
"2005-01-27","2.81046","2.83224","2.81046","2.83224","35416","0"
"2005-01-28","2.86492","2.86492","2.86492","2.86492","2570","0"
"2005-02-02","2.86492","2.8976","2.86492","2.89760","1193","0"
"2005-02-03","2.90850","2.91939","2.8976","2.91939","13146","0"
"2005-02-04","2.93028","2.94118","2.93028","2.94118","34811","0"
"2005-02-07","2.91939","2.91939","2.91939","2.91939","1175","0"
"2005-02-08","2.94118","2.96296","2.94118","2.96296","1561","0"
"2005-02-09","2.94118","2.94118","2.94118","2.94118","918","0"
"2005-02-11","2.91939","2.96296","2.91939","2.96296","2111","0"
"2005-02-14","2.98475","2.98475","2.94118","2.98475","3902","0"
"2005-02-16","2.90850","2.96296","2.9085","2.96296","2635","0"
"2005-02-17","2.99564","2.99564","2.99564","2.99564","459","0"
"2005-02-21","2.99564","3.01743","2.94118","3.01743","4590","0"
"2005-02-22","3.02832","3.02832","3.02832","3.02832","1377","0"
"2005-02-23","3.01743","3.01743","3.01743","3.01743","2754","0"
"2005-02-25","3.07190","3.0719","3.0719","3.07190","688","0"
"2005-02-28","2.99564","3.01743","2.99564","3.01743","5646","0"
"2005-03-01","3.01198","3.0719","3.01198","3.07190","9676","0"
"2005-03-02","3.08279","3.08279","3.08279","3.08279","367","0"
"2005-03-07","3.09368","3.09368","3.09368","3.09368","1262","0"
"2005-03-08","3.09368","3.10458","3.09368","3.10458","799","0"
"2005-03-15","3.12636","3.12636","3.12636","3.12636","459","0"
"2005-03-17","3.07734","3.12636","3.05011","3.05011","3718","0"
"2005-03-18","3.12636","3.12636","3.12636","3.12636","367","0"
"2005-03-21","3.05011","3.09368","3.05011","3.09368","2111","0"
"2005-03-22","2.99564","3.05011","2.99564","3.05011","13816","0"
"2005-03-28","3.06100","3.061","3.061","3.06100","367","0"
"2005-03-30","3.07734","3.07734","3.07734","3.07734","1102","0"
"2005-04-01","3.11547","3.11547","3.11547","3.11547","918","0"
"2005-04-05","3.07190","3.12636","3.05011","3.12636","3856","0"
"2005-04-06","3.05011","3.13725","3.05011","3.13725","1745","0"
"2005-04-07","3.12636","3.15904","3.12636","3.15904","1102","0"
"2005-04-12","3.15904","3.15904","3.15904","3.15904","9318","0"
"2005-04-13","3.10458","3.13181","3.09368","3.13181","19654","0"
"2005-04-15","3.02832","3.10458","3.02832","3.10458","7840","0"
"2005-04-18","3.10458","3.10458","3.10458","3.10458","734","0"
"2005-04-19","3.10458","3.15904","3.05011","3.15904","16052","0"
"2005-04-20","3.05011","3.15904","3.05011","3.15904","2387","0"
"2005-04-22","3.15904","3.15904","3.15904","3.15904","19418","0"
"2005-04-25","3.21351","3.21351","3.21351","3.21351","3007","0"
"2005-04-26","3.21351","3.24074","3.21351","3.24074","4734","0"
"2005-04-27","3.24074","3.26797","3.24074","3.26797","5141","0"
"2005-04-28","3.26797","3.26797","3.26797","3.26797","1294","0"
"2005-04-29","3.15904","3.15904","3.15904","3.15904","2295","0"
"2005-05-02","3.15904","3.26797","3.15904","3.26797","9420","0"
"2005-05-03","3.29521","3.29521","3.29521","3.29521","643","0"
