fecha,apertura,maximo,minimo,cierre,volumen,openint
"2014-01-14","1.88000","1.98","1.88","1.97000","40731","0"
"2014-01-15","2.00000","2.4","2","2.40000","590304","0"
"2014-01-16","2.40000","2.92","2.4","2.80000","594895","0"
"2014-01-17","2.95000","3.35","2.8","2.80000","559587","0"
"2014-01-20","2.85000","3.07","2.85","3.05000","270166","0"
"2014-01-21","3.12000","3.2","3.05","3.05000","178079","0"
"2014-01-22","3.05000","3.1","3","3.00000","223066","0"
"2014-01-23","3.00000","3","2.8","2.86000","57237","0"
"2014-01-24","2.85000","2.85","2.8","2.83000","20269","0"
"2014-01-27","2.70000","2.9","2.7","2.90000","34268","0"
"2014-01-28","2.90000","2.9","2.9","2.90000","4180","0"
"2014-01-29","2.70000","2.8","2.7","2.80000","23164","0"
"2014-01-30","2.75000","3.07","2.75","3.07000","80374","0"
"2014-01-31","3.07000","3.1","2.95","3.00000","68315","0"
"2014-02-03","3.00000","3.1","2.95","3.00000","40732","0"
"2014-02-04","3.00000","3","2.99","3.00000","35873","0"
"2014-02-05","2.90000","2.9","2.9","2.90000","2500","0"
"2014-02-06","2.98000","3.19","2.98","3.19000","288624","0"
"2014-02-07","3.10000","3.1","3.05","3.09000","16518","0"
"2014-02-10","3.06000","3.17","3.05","3.17000","77057","0"
"2014-02-11","3.20000","3.25","3.2","3.23000","115500","0"
"2014-02-12","3.25000","3.35","3.25","3.33000","94743","0"
"2014-02-13","3.30000","3.34","3.3","3.30000","73447","0"
"2014-02-14","3.35000","3.35","3.3","3.35000","13536","0"
"2014-02-17","3.30000","3.34","3.3","3.31000","11181","0"
"2014-02-18","3.31000","3.33","3.31","3.32000","30584","0"
"2014-02-19","3.10000","3.1","3.1","3.10000","12636","0"
"2014-02-20","3.00000","3.14","3","3.14000","6288","0"
"2014-02-21","3.14000","3.14","3.1","3.10000","9114","0"
"2014-02-24","3.05000","3.05","3","3.00000","27344","0"
"2014-02-25","3.20000","3.2","3.2","3.20000","716","0"
"2014-02-26","3.18000","3.18","3.18","3.18000","973","0"
"2014-02-28","3.20000","3.2","3","3.20000","17786","0"
"2014-03-05","3.20000","3.2","3.2","3.20000","1673","0"
