fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","0.42500","0.444","0.425","0.44400","11000","0"
"2005-01-04","0.43000","0.449","0.43","0.44900","22912","0"
"2005-01-06","0.43500","0.435","0.435","0.43500","6460","0"
"2005-01-11","0.46000","0.46","0.435","0.46000","42203","0"
"2005-01-12","0.46000","0.46","0.46","0.46000","10000","0"
"2005-01-13","0.42000","0.45","0.42","0.45000","32585","0"
"2005-01-17","0.46000","0.46","0.46","0.46000","2500","0"
"2005-01-26","0.45000","0.47","0.44","0.47000","17552","0"
"2005-01-27","0.48000","0.48","0.48","0.48000","2160","0"
"2005-01-28","0.50000","0.5","0.5","0.50000","6100","0"
"2005-02-01","0.47000","0.48","0.47","0.48000","8000","0"
"2005-02-04","0.47000","0.48","0.47","0.47900","25943","0"
"2005-02-07","0.47900","0.479","0.44","0.47000","43449","0"
"2005-02-08","0.44000","0.499","0.43","0.49900","60776","0"
"2005-02-09","0.49700","0.497","0.48","0.48900","31000","0"
"2005-02-15","0.45000","0.47","0.45","0.47000","17500","0"
"2005-02-16","0.46000","0.46","0.46","0.46000","4000","0"
"2005-02-17","0.47800","0.49","0.465","0.47700","41746","0"
"2005-02-18","0.47000","0.47","0.47","0.47000","8400","0"
"2005-02-21","0.46000","0.47","0.46","0.47000","22498","0"
"2005-02-22","0.46500","0.47","0.465","0.47000","11816","0"
"2005-02-24","0.48000","0.48","0.423","0.46000","25740","0"
"2005-02-25","0.43000","0.46","0.43","0.46000","9700","0"
"2005-02-28","0.47000","0.47","0.47","0.47000","2800","0"
"2005-03-01","0.45000","0.46","0.45","0.46000","8500","0"
"2005-03-02","0.43000","0.459","0.43","0.45900","8662","0"
"2005-03-03","0.46000","0.47","0.46","0.47000","7000","0"
"2005-03-04","0.45000","0.458","0.45","0.45800","9386","0"
"2005-03-07","0.46000","0.47","0.46","0.47000","6000","0"
"2005-03-08","0.46000","0.46","0.46","0.46000","17138","0"
"2005-03-09","0.45000","0.46","0.45","0.46000","10000","0"
"2005-03-11","0.44000","0.48","0.42","0.46000","27834","0"
"2005-03-14","0.48000","0.48","0.45","0.48000","57000","0"
"2005-03-15","0.49000","0.495","0.46","0.46000","46250","0"
"2005-03-16","0.50000","0.5","0.5","0.50000","10200","0"
"2005-03-18","0.47500","0.49","0.475","0.49000","21958","0"
"2005-03-21","0.49000","0.5","0.49","0.50000","7500","0"
"2005-03-28","0.50000","0.5","0.5","0.50000","2000","0"
"2005-03-30","0.47000","0.47","0.47","0.47000","12385","0"
"2005-04-06","0.48500","0.49","0.485","0.49000","27315","0"
"2005-04-08","0.46100","0.48","0.46","0.48000","14450","0"
"2005-04-12","0.47000","0.47","0.47","0.47000","20000","0"
"2005-04-13","0.48000","0.48","0.48","0.48000","4112","0"
