fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","2.28133","2.29605","2.26661","2.28133","231257","0"
"2005-01-04","2.24454","2.29605","2.24454","2.28133","769583","0"
"2005-01-05","2.23718","2.2519","2.20038","2.20774","246601","0"
"2005-01-06","2.20774","2.25926","2.20774","2.25190","309599","0"
"2005-01-07","2.26661","2.28133","2.24454","2.26661","248029","0"
"2005-01-10","2.26661","2.34021","2.26661","2.31813","386282","0"
"2005-01-11","2.34021","2.34757","2.31813","2.31813","103144","0"
"2005-01-12","2.34021","2.34021","2.29605","2.31813","162686","0"
"2005-01-13","2.28133","2.32549","2.28133","2.32549","127769","0"
"2005-01-14","2.34021","2.34021","2.30341","2.33285","126363","0"
"2005-01-17","2.33285","2.34757","2.31813","2.31813","208764","0"
"2005-01-18","2.31813","2.32549","2.31813","2.32549","198273","0"
"2005-01-19","2.31813","2.35492","2.31813","2.35492","199344","0"
"2005-01-20","2.33285","2.35492","2.31813","2.34021","305450","0"
"2005-01-21","2.33285","2.377","2.31813","2.36964","340581","0"
"2005-01-24","2.36964","2.36964","2.34757","2.34757","164926","0"
"2005-01-25","2.34757","2.36964","2.34757","2.36964","265689","0"
"2005-01-26","2.36964","2.40644","2.36964","2.40644","267508","0"
"2005-01-27","2.41380","2.45059","2.40644","2.45059","874003","0"
"2005-01-28","2.45059","2.45795","2.43588","2.43588","262771","0"
"2005-01-31","2.42852","2.48003","2.42852","2.48003","417277","0"
"2005-02-01","2.47267","2.47267","2.46531","2.46531","114959","0"
"2005-02-02","2.44323","2.48739","2.44323","2.46531","144358","0"
"2005-02-03","2.45795","2.50211","2.45795","2.49475","303300","0"
"2005-02-04","2.50211","2.55362","2.50211","2.55362","619814","0"
"2005-02-07","2.55362","2.55362","2.45059","2.54626","194299","0"
"2005-02-08","2.53890","2.55362","2.53154","2.53154","351155","0"
"2005-02-09","2.51683","2.51683","2.45795","2.50211","523701","0"
"2005-02-10","2.50211","2.50211","2.45795","2.47267","159005","0"
"2005-02-11","2.47267","2.47267","2.45059","2.46531","227283","0"
"2005-02-14","2.46531","2.56098","2.46531","2.53154","621316","0"
"2005-02-15","2.56098","2.56098","2.45059","2.45059","171236","0"
"2005-02-16","2.48003","2.48739","2.44323","2.46531","126572","0"
"2005-02-17","2.46531","2.50211","2.44323","2.50211","314881","0"
"2005-02-18","2.49475","2.64929","2.48739","2.64929","1042119","0"
"2005-02-21","2.64929","2.64929","2.56834","2.57570","599978","0"
"2005-02-22","2.53890","2.60514","2.5389","2.59778","582843","0"
"2005-02-23","2.61249","2.66401","2.5757","2.62721","1173442","0"
"2005-02-24","2.64929","2.67873","2.63457","2.66401","501616","0"
"2005-02-25","2.66401","2.70816","2.64929","2.66401","226294","0"
"2005-02-28","2.66401","2.67137","2.5757","2.61249","646110","0"
"2005-03-01","2.60514","2.67873","2.60514","2.67137","319320","0"
"2005-03-02","2.66401","2.70816","2.64193","2.70816","493134","0"
"2005-03-03","2.68609","2.71552","2.68609","2.70080","376930","0"
"2005-03-04","2.70816","2.76704","2.64929","2.75232","607085","0"
"2005-03-07","2.75968","2.87006","2.75232","2.86271","1602077","0"
"2005-03-08","2.88478","2.90686","2.85535","2.87006","877575","0"
"2005-03-09","2.86271","2.86271","2.75232","2.77440","443642","0"
