fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","1.26000","1.27","1.26","1.26000","8600","0"
"2005-01-04","1.25000","1.25","1.25","1.25000","15000","0"
"2005-01-05","1.25000","1.25","1.25","1.25000","14802","0"
"2005-01-07","1.30000","1.3","1.25","1.25000","5750","0"
"2005-01-10","1.27000","1.27","1.27","1.27000","2150","0"
"2005-01-11","1.28000","1.29","1.27","1.29000","5500","0"
"2005-01-12","1.27000","1.3","1.27","1.30000","3300","0"
"2005-01-14","1.29000","1.29","1.29","1.29000","3640","0"
"2005-01-17","1.28000","1.29","1.25","1.29000","9300","0"
"2005-01-18","1.25000","1.25","1.21","1.23000","26225","0"
"2005-01-19","1.22000","1.22","1.22","1.22000","1774","0"
"2005-01-20","1.21000","1.21","1.21","1.21000","2503","0"
"2005-01-21","1.24000","1.25","1.24","1.25000","15180","0"
"2005-01-25","1.28000","1.37","1.28","1.37000","175327","0"
"2005-01-26","1.37000","1.43","1.37","1.40000","113317","0"
"2005-01-27","1.40000","1.44","1.4","1.44000","34780","0"
"2005-01-28","1.40000","1.47","1.4","1.47000","57703","0"
"2005-01-31","1.45000","1.48","1.43","1.48000","90034","0"
"2005-02-01","1.38000","1.38","1.38","1.38000","3496","0"
"2005-02-02","1.40000","1.4","1.4","1.40000","1100","0"
"2005-02-03","1.43000","1.43","1.42","1.43000","23954","0"
"2005-02-04","1.45000","1.48","1.45","1.45000","61500","0"
"2005-02-07","1.47000","1.47","1.43","1.43000","24400","0"
"2005-02-08","1.45000","1.45","1.42","1.44000","21700","0"
"2005-02-09","1.43000","1.44","1.42","1.44000","17558","0"
"2005-02-10","1.43000","1.44","1.39","1.39000","49112","0"
"2005-02-11","1.41000","1.41","1.39","1.40000","26140","0"
"2005-02-14","1.40000","1.42","1.39","1.42000","22840","0"
"2005-02-15","1.41000","1.41","1.38","1.38000","15500","0"
"2005-02-16","1.35000","1.38","1.35","1.38000","20895","0"
"2005-02-17","1.40000","1.45","1.4","1.45000","79274","0"
"2005-02-18","1.45000","1.5","1.45","1.50000","110429","0"
"2005-02-21","1.55000","1.72","1.55","1.60000","304063","0"
"2005-02-22","1.62000","1.65","1.6","1.65000","215319","0"
"2005-02-23","1.65000","1.65","1.6","1.62000","210773","0"
"2005-02-24","1.65000","1.65","1.55","1.60000","69702","0"
"2005-02-25","1.65000","1.65","1.58","1.58000","54234","0"
"2005-02-28","1.58000","1.58","1.46","1.46000","30213","0"
"2005-03-01","1.50000","1.55","1.5","1.53000","39600","0"
"2005-03-02","1.53000","1.55","1.52","1.52000","16406","0"
"2005-03-03","1.65000","1.65","1.5","1.50000","21700","0"
"2005-03-04","1.48000","1.53","1.48","1.52000","32542","0"
"2005-03-07","1.52000","1.54","1.51","1.52000","10300","0"
"2005-03-08","1.53000","1.61","1.53","1.61000","40259","0"
"2005-03-09","1.58000","1.6","1.56","1.56000","62115","0"
"2005-03-10","1.54000","1.54","1.43","1.52000","66854","0"
"2005-03-11","1.50000","1.55","1.5","1.50000","13200","0"
"2005-03-14","1.47000","1.47","1.43","1.43000","32382","0"
"2005-03-15","1.43000","1.47","1.43","1.46000","16341","0"
"2005-03-17","1.46000","1.5","1.45","1.50000","51168","0"
"2005-03-18","1.50000","1.53","1.48","1.50000","67700","0"
"2005-03-21","1.52000","1.53","1.5","1.50000","120928","0"
"2005-03-22","1.50000","1.5","1.44","1.44000","264618","0"
"2005-03-23","1.42000","1.45","1.42","1.42000","45122","0"
"2005-03-28","1.40000","1.4","1.37","1.40000","18792","0"
"2005-03-29","1.40000","1.42","1.38","1.38000","30970","0"
"2005-03-30","1.40000","1.44","1.4","1.44000","10000","0"
"2005-03-31","1.44000","1.47","1.44","1.47000","10700","0"
"2005-04-01","1.50000","1.5","1.5","1.50000","6900","0"
"2005-04-04","1.49000","1.49","1.45","1.45000","16700","0"
"2005-04-05","1.43000","1.43","1.43","1.43000","9000","0"
"2005-04-06","1.43000","1.43","1.4","1.40000","27070","0"
"2005-04-07","1.35000","1.36","1.35","1.36000","7650","0"
"2005-04-08","1.38000","1.38","1.36","1.38000","23500","0"
"2005-04-12","1.34000","1.34","1.31","1.32000","18000","0"
"2005-04-13","1.33000","1.35","1.33","1.35000","7300","0"
"2005-04-14","1.31000","1.32","1.3","1.32000","8700","0"
"2005-04-15","1.27000","1.32","1.23","1.23000","40310","0"
"2005-04-18","1.27000","1.27","1.26","1.27000","33400","0"
"2005-04-19","1.30000","1.3","1.3","1.30000","9532","0"
"2005-04-20","1.29000","1.29","1.27","1.27000","5520","0"
"2005-04-21","1.22000","1.25","1.22","1.25000","8130","0"
"2005-04-22","1.29000","1.37","1.29","1.31000","23655","0"
"2005-04-25","1.35000","1.35","1.3","1.32000","8000","0"
"2005-04-26","1.36000","1.36","1.33","1.33000","13000","0"
"2005-04-27","1.37000","1.4","1.37","1.37000","30570","0"
"2005-04-28","1.35000","1.36","1.3","1.30000","43600","0"
"2005-04-29","1.30000","1.35","1.3","1.32000","10500","0"
"2005-05-02","1.39000","1.4","1.39","1.40000","18210","0"
"2005-05-03","1.40000","1.45","1.4","1.41000","54327","0"
"2005-05-04","1.41000","1.42","1.39","1.42000","26100","0"
"2005-05-05","1.42000","1.42","1.4","1.42000","23280","0"
"2005-05-06","1.40000","1.43","1.4","1.43000","32330","0"
"2005-05-09","1.43000","1.47","1.43","1.45000","32540","0"
"2005-05-10","1.40000","1.4","1.4","1.40000","7815","0"
"2005-05-11","1.40000","1.42","1.4","1.42000","25800","0"
"2005-05-12","1.42000","1.43","1.4","1.40000","14440","0"
"2005-05-13","1.38000","1.45","1.38","1.45000","24640","0"
"2005-05-16","1.46000","1.46","1.46","1.46000","12078","0"
"2005-05-17","1.46000","1.46","1.39","1.39000","16000","0"
"2005-05-18","1.40000","1.4","1.4","1.40000","5230","0"
"2005-05-19","1.41000","1.42","1.4","1.40000","18459","0"
"2005-05-20","1.40000","1.42","1.4","1.42000","9662","0"
"2005-05-23","1.42000","1.42","1.42","1.42000","8150","0"
"2005-05-24","1.42000","1.44","1.42","1.44000","16230","0"
"2005-05-26","1.42000","1.47","1.42","1.47000","18570","0"
"2005-05-27","1.45000","1.45","1.42","1.44000","39000","0"
"2005-05-30","1.47000","1.48","1.42","1.45000","30645","0"
"2005-05-31","1.42000","1.42","1.41","1.42000","18420","0"
"2005-06-01","1.41000","1.43","1.4","1.43000","90861","0"
"2005-06-02","1.43000","1.43","1.39","1.39000","84581","0"
"2005-06-03","1.40000","1.4","1.37","1.37000","35762","0"
"2005-06-06","1.32000","1.37","1.3","1.37000","60781","0"
"2005-06-07","1.34000","1.37","1.34","1.35000","48859","0"
"2005-06-08","1.35000","1.37","1.35","1.35000","54404","0"
"2005-06-09","1.33000","1.35","1.31","1.31000","36636","0"
"2005-06-10","1.35000","1.35","1.33","1.34000","30094","0"
"2005-06-13","1.31000","1.32","1.29","1.32000","83000","0"
"2005-06-14","1.34000","1.34","1.32","1.34000","36985","0"
"2005-06-15","1.36000","1.36","1.33","1.36000","75523","0"
"2005-06-16","1.34000","1.36","1.34","1.36000","18082","0"
"2005-06-17","1.37000","1.37","1.37","1.37000","1650","0"
"2005-06-21","1.31000","1.36","1.31","1.36000","92000","0"
"2005-06-22","1.33000","1.33","1.33","1.33000","39928","0"
"2005-06-23","1.31000","1.31","1.27","1.28000","38000","0"
"2005-06-24","1.28000","1.28","1.23","1.25000","73335","0"
"2005-06-27","1.23000","1.23","1.21","1.21000","11968","0"
"2005-06-28","1.20000","1.22","1.2","1.22000","20822","0"
"2005-06-29","1.22000","1.22","1.21","1.21000","29332","0"
"2005-06-30","1.18000","1.2","1.16","1.20000","50968","0"
"2005-07-01","1.25000","1.26","1.2","1.22000","54200","0"
"2005-07-04","1.22000","1.22","1.22","1.22000","5200","0"
"2005-07-05","1.22000","1.22","1.21","1.21000","27375","0"
"2005-07-06","1.20000","1.2","1.18","1.19000","30200","0"
"2005-07-07","1.19000","1.19","1.19","1.19000","17485","0"
"2005-07-08","1.19000","1.19","1.18","1.18000","10147","0"
"2005-07-11","1.16000","1.18","1.15","1.15000","34645","0"
"2005-07-12","1.15000","1.18","1.12","1.18000","105190","0"
"2005-07-13","1.16000","1.17","1.12","1.17000","40300","0"
"2005-07-14","1.17000","1.18","1.15","1.17000","77717","0"
"2005-07-15","1.19000","1.2","1.15","1.20000","160110","0"
"2005-07-18","1.20000","1.2","1.12","1.15000","311546","0"
"2005-07-19","1.15000","1.15","1.13","1.14000","172400","0"
"2005-07-20","1.14000","1.16","1.11","1.15000","633980","0"
"2005-07-21","1.15000","1.15","1.12","1.13000","314588","0"
"2005-07-22","1.13000","1.13","1.07","1.10000","299765","0"
"2005-07-25","1.14000","1.2","1.14","1.15000","990055","0"
"2005-07-26","1.16000","1.19","1.15","1.19000","2107518","0"
"2005-07-27","1.20000","1.23","1.17","1.20000","2913841","0"
"2005-07-28","1.20000","1.23","1.2","1.21000","1244505","0"
"2005-07-29","1.21000","1.22","1.17","1.19000","708593","0"
"2005-08-01","1.21000","1.21","1.19","1.21000","1409100","0"
"2005-08-02","1.21000","1.32","1.2","1.30000","2096838","0"
"2005-08-03","1.30000","1.36","1.28","1.28000","1975492","0"
"2005-08-04","1.31000","1.34","1.29","1.33000","733873","0"
"2005-08-05","1.33000","1.34","1.28","1.30000","508890","0"
"2005-08-08","1.32000","1.33","1.3","1.32000","624426","0"
"2005-08-09","1.35000","1.35","1.31","1.32000","923582","0"
"2005-08-10","1.33000","1.33","1.31","1.31000","631758","0"
"2005-08-11","1.31000","1.31","1.23","1.26000","550587","0"
"2005-08-12","1.26000","1.26","1.22","1.26000","215233","0"
"2005-08-16","1.27000","1.27","1.23","1.23000","240949","0"
"2005-08-17","1.23000","1.26","1.22","1.25000","122436","0"
"2005-08-18","1.25000","1.26","1.25","1.25000","140156","0"
"2005-08-19","1.25000","1.25","1.22","1.23000","182087","0"
"2005-08-22","1.26000","1.32","1.26","1.30000","683241","0"
"2005-08-23","1.30000","1.34","1.29","1.32000","1163901","0"
"2005-08-24","1.33000","1.4","1.32","1.38000","3387612","0"
"2005-08-25","1.41000","1.47","1.41","1.44000","1762144","0"
"2005-08-26","1.45000","1.45","1.39","1.40000","1148929","0"
"2005-08-29","1.39000","1.42","1.37","1.42000","695648","0"
"2005-08-30","1.42000","1.43","1.41","1.41000","559025","0"
"2005-08-31","1.40000","1.42","1.39","1.42000","230882","0"
"2005-09-01","1.43000","1.43","1.41","1.43000","429514","0"
"2005-09-02","1.44000","1.44","1.39","1.39000","475177","0"
"2005-09-05","1.40000","1.43","1.4","1.43000","322404","0"
"2005-09-06","1.44000","1.51","1.44","1.50000","2285509","0"
"2005-09-07","1.51000","1.6","1.49","1.58000","3979656","0"
"2005-09-08","1.60000","1.63","1.53","1.53000","2957965","0"
"2005-09-09","1.54000","1.59","1.54","1.57000","1164879","0"
"2005-09-12","1.57000","1.58","1.53","1.54000","403544","0"
"2005-09-13","1.54000","1.55","1.52","1.54000","570965","0"
"2005-09-14","1.54000","1.69","1.54","1.65000","1690006","0"
"2005-09-15","1.70000","1.74","1.59","1.61000","2564239","0"
"2005-09-16","1.65000","1.65","1.57","1.59000","562872","0"
"2005-09-19","1.58000","1.63","1.57","1.62000","668778","0"
"2005-09-20","1.64000","1.65","1.58","1.60000","415415","0"
"2005-09-21","1.60000","1.61","1.59","1.60000","468668","0"
"2005-09-22","1.60000","1.62","1.57","1.59000","516289","0"
"2005-09-23","1.59000","1.6","1.57","1.57000","454550","0"
"2005-09-26","1.57000","1.57","1.51","1.53000","618086","0"
"2005-09-27","1.55000","1.55","1.49","1.53000","2302068","0"
"2005-09-28","1.55000","1.57","1.54","1.56000","1233685","0"
"2005-09-29","1.55000","1.58","1.52","1.54000","1297820","0"
"2005-09-30","1.55000","1.56","1.53","1.53000","468457","0"
"2005-10-03","1.61000","1.7","1.59","1.68000","5273764","0"
"2005-10-04","1.71000","1.8","1.68","1.70000","5991647","0"
"2005-10-05","1.71000","1.73","1.65","1.67000","2482347","0"
"2005-10-06","1.68000","1.8","1.66","1.73000","4173025","0"
"2005-10-07","1.76000","1.8","1.75","1.78000","3571227","0"
"2005-10-11","1.80000","1.87","1.77","1.87000","3590700","0"
"2005-10-12","1.94000","1.94","1.81","1.84000","4617053","0"
"2005-10-13","1.83000","1.86","1.79","1.85000","2010159","0"
"2005-10-14","1.85000","1.87","1.83","1.85000","1628998","0"
"2005-10-17","1.87000","1.87","1.79","1.80000","1040718","0"
"2005-10-18","1.78000","1.8","1.74","1.74000","754258","0"
