fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","13.28919","13.3344","12.7016","12.74677","351838","0"
"2005-01-04","12.74677","12.8372","12.7468","12.83718","92401","0"
"2005-01-05","12.74677","12.7468","12.5208","12.56597","233766","0"
"2005-01-06","12.70157","12.7468","12.4756","12.70157","191041","0"
"2005-01-07","12.74677","12.7468","12.4756","12.52077","56240","0"
"2005-01-10","12.56597","12.6112","12.4756","12.56597","165135","0"
"2005-01-11","12.65637","12.6564","12.4304","12.43036","297422","0"
"2005-01-12","12.56597","12.6564","11.9783","12.06876","678010","0"
"2005-01-13","12.06876","12.2496","12.0688","12.24956","271974","0"
"2005-01-14","12.24956","12.2496","12.114","12.24956","128962","0"
"2005-01-17","12.29476","12.34","12.2044","12.33996","25524","0"
"2005-01-18","12.38516","12.3852","11.9783","12.11396","191642","0"
"2005-01-19","12.20436","12.34","12.2044","12.20436","113256","0"
"2005-01-20","12.20436","12.2044","12.0688","12.06876","64535","0"
"2005-01-21","12.06876","12.2948","12.0688","12.29476","50581","0"
"2005-01-24","12.29476","12.34","12.114","12.33996","121977","0"
"2005-01-25","12.29476","12.34","12.1592","12.20436","180813","0"
"2005-01-26","12.24956","12.2948","12.1592","12.24956","90370","0"
"2005-01-27","12.29476","12.566","12.2496","12.52077","186553","0"
"2005-01-28","12.61117","12.792","12.6112","12.74677","180609","0"
"2005-01-31","12.79198","13.018","12.7468","12.83718","401578","0"
"2005-02-01","12.92758","13.244","12.9276","13.10838","313687","0"
"2005-02-02","13.10838","13.7412","13.1084","13.65080","1417421","0"
"2005-02-03","13.78640","14.1932","13.6508","14.01241","973234","0"
"2005-02-04","14.14801","14.1932","13.7412","13.87681","626946","0"
"2005-02-07","13.96721","14.1028","13.6508","14.01241","364282","0"
"2005-02-08","14.01241","14.374","14.0124","14.32882","1036957","0"
"2005-02-09","14.37402","14.4192","14.148","14.32882","581128","0"
"2005-02-10","14.19322","14.374","14.148","14.28362","251494","0"
"2005-02-11","14.14801","14.4192","14.148","14.32882","306342","0"
"2005-02-14","14.32882","14.6","14.3288","14.41922","264866","0"
"2005-02-15","14.55483","14.6904","14.4644","14.60003","369390","0"
"2005-02-16","14.60003","15.052","14.5096","15.05204","316313","0"
"2005-02-17","14.91644","14.9616","14.7356","14.78083","313463","0"
"2005-02-18","14.91644","15.2781","14.8712","15.23285","637197","0"
"2005-02-21","15.18765","15.1876","14.7356","14.87124","99524","0"
"2005-02-22","14.91644","15.3685","14.826","15.14244","412227","0"
"2005-02-23","15.05204","15.1424","14.8712","15.00684","500786","0"
"2005-02-24","15.18765","15.5944","15.1876","15.50405","893946","0"
"2005-02-25","15.73006","17.0409","15.4588","16.58888","856303","0"
"2005-02-28","16.72449","17.7189","16.7245","17.40251","796953","0"
"2005-03-01","17.26690","17.6285","16.9053","17.22170","408344","0"
"2005-03-02","17.26690","17.5381","16.9957","17.13130","337909","0"
"2005-03-03","17.17650","17.4477","16.9505","17.04090","345671","0"
"2005-03-04","17.08610","17.3573","16.5437","17.26690","242602","0"
"2005-03-07","17.26690","17.7641","17.2217","17.76412","208106","0"
"2005-03-08","17.62852","17.8545","17.3573","17.44771","169715","0"
"2005-03-09","17.44771","17.4929","17.0409","17.13130","415341","0"
"2005-03-10","16.90530","16.9053","16.2725","16.54369","399728","0"
"2005-03-11","16.45328","16.8149","16.4533","16.45328","328198","0"
"2005-03-14","16.45328","16.5889","16.0013","16.09167","242547","0"
"2005-03-15","16.09167","16.6341","16.0917","16.27248","403732","0"
"2005-03-16","16.27248","16.3629","16.1821","16.36288","201861","0"
"2005-03-17","16.45328","16.9957","16.4081","16.99570","186698","0"
"2005-03-18","16.99570","17.0861","16.8149","16.95049","279686","0"
"2005-03-21","16.90530","16.9053","16.4533","16.49849","97774","0"
"2005-03-22","16.49849","16.7245","16.4533","16.67929","59066","0"
"2005-03-23","16.54369","16.5437","16.2725","16.27248","249270","0"
"2005-03-28","16.27248","16.2725","15.7753","16.04647","172003","0"
"2005-03-29","16.18207","16.4533","15.7753","15.77526","281278","0"
"2005-03-30","16.09167","16.0917","15.8205","16.04647","231164","0"
"2005-03-31","16.04647","16.4533","16.0465","16.13687","265914","0"
"2005-04-01","16.36288","16.4985","16.2725","16.45328","166229","0"
"2005-04-04","16.45328","16.5437","16.3629","16.49849","139912","0"
"2005-04-05","16.58888","16.5889","16.4081","16.40808","448187","0"
"2005-04-06","16.40808","16.4985","16.3177","16.40808","184768","0"
"2005-04-07","16.27248","16.4985","16.2725","16.49849","266856","0"
"2005-04-08","16.45328","16.4533","16.2725","16.27248","25607","0"
"2005-04-11","16.27248","16.2725","16.0465","16.22728","32980","0"
"2005-04-12","16.04647","16.0465","15.1424","15.50405","440182","0"
"2005-04-13","15.41365","15.5041","14.7356","14.82603","479864","0"
"2005-04-14","14.64523","14.6452","14.0124","14.37402","598695","0"
"2005-04-15","14.37402","14.5096","13.696","13.87681","943199","0"
"2005-04-18","14.05761","14.3288","13.9672","14.01241","703864","0"
"2005-04-19","14.60003","15.2781","14.6","15.27805","923665","0"
"2005-04-20","15.36845","15.4136","14.826","14.87124","736012","0"
"2005-04-21","15.09724","15.3685","14.826","15.36845","622857","0"
"2005-04-22","15.36845","15.6397","15.2781","15.36845","328947","0"
"2005-04-25","15.41365","15.7753","15.4136","15.77526","187717","0"
"2005-04-26","15.77526","15.7753","15.2781","15.36845","263139","0"
"2005-04-27","15.18765","15.1876","14.6452","14.82603","617111","0"
"2005-04-28","14.60003","14.6904","14.3288","14.41922","318560","0"
"2005-04-29","14.96164","15.0972","14.5096","15.05204","417690","0"
"2005-05-02","15.18765","15.5493","15.0068","15.54926","578057","0"
"2005-05-03","16.40808","16.5889","16.2273","16.45328","1016480","0"
"2005-05-04","16.63409","17.0861","16.6341","17.08610","453694","0"
"2005-05-05","17.80932","18.3517","17.8093","18.17093","1421142","0"
"2005-05-06","18.08053","18.0805","17.7641","17.99013","374732","0"
"2005-05-09","17.89973","18.4421","17.7641","18.39694","287891","0"
"2005-05-10","17.94493","18.1709","17.7189","18.08053","503235","0"
"2005-05-11","17.99013","17.9901","17.5381","17.53811","531752","0"
"2005-05-12","17.58332","17.7189","17.1765","17.40251","292761","0"
"2005-05-13","17.26690","17.7641","17.2217","17.62852","1075873","0"
"2005-05-16","17.99013","18.0805","16.9505","17.22170","342085","0"
"2005-05-17","17.22170","17.4477","17.0409","17.31211","392722","0"
"2005-05-18","17.31211","17.9449","17.3121","17.76412","561052","0"
"2005-05-19","17.80932","17.8997","17.4477","17.62852","174087","0"
"2005-05-20","17.71892","17.7189","17.4929","17.71892","521659","0"
"2005-05-23","17.71892","17.9449","17.6285","17.85452","1003842","0"
"2005-05-24","17.99013","18.2613","17.8545","18.21614","385535","0"
